ZebrafishGeneID	ZebrafishGeneID.1	ZFINID	ZebrafishSymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
CAMSAP3	556256	ZDB-GENE-060503-811	camsap3	Human	57662	29307	CAMSAP3	14	14.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CAPN15	100330198	ZDB-GENE-140106-70	capn15	Human	6650	11182	CAPN15	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
CASKIN1	563678	ZDB-GENE-071115-3	caskin1	Human	57524	20879	CASKIN1	9	9.38	high	Yes	Yes	Compara, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, ZFIN
CASKIN2	564253	ZDB-GENE-041001-137	si:ch211-119c20.2	Human	57513	18200	CASKIN2	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CBFA2T3	563252	ZDB-GENE-070209-2	cbfa2t3	Human	863	1537	CBFA2T3	12	12.22	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
CC2D1A	100001297	ZDB-GENE-110908-1	cc2d1a	Human	54862	30237	CC2D1A	13	13.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
CCDC181	566663	ZDB-GENE-060503-312	ccdc181	Human	57821	28051	CCDC181	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CCDC39	100005620	ZDB-GENE-110603-1	ccdc39	Human	339829	25244	CCDC39	14	14.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CCDC57	100318317	ZDB-GENE-090603-1	ccdc57	Human	284001	27564	CCDC57	12	12.46	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
CCDC89	100136847	ZDB-GENE-080204-56	zgc:172182	Human	220388	26762	CCDC89	11	10.93	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
CCNB1IP1	562825		ccnb1ip1	Human	57820	19437	CCNB1IP1	8	8.05	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther
CCNO	101883490		ccno	Human	10309	18576	CCNO	7	7.04	high	Yes	Yes	Compara, Hieranoid, Homologene, OrthoDB, OrthoFinder, OrthoInspector, Panther
CD37	100124595	ZDB-GENE-070820-17	cd37	Human	951	1666	CD37	6	5.92	high	Yes	Yes	Compara, OMA, OrthoDB, Panther, Phylome, TreeFam
CDK18	100150007	ZDB-GENE-141215-51	si:dkey-166c18.1	Human	5129	8751	CDK18	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CDPF1	563220	ZDB-GENE-041210-170	si:ch211-239e6.4	Human	150383	33710	CDPF1	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CELF6	794913	ZDB-GENE-120215-101	si:dkey-205h23.2	Human	60677	14059	CELF6	4	4.04	high	Yes	Yes	Compara, OrthoDB, OrthoFinder, Panther
CEP120	100334628		cep120	Human	153241	26690	CEP120	9	8.82	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
CEP192	565521	ZDB-GENE-100922-163	cep192	Human	55125	25515	CEP192	6	6.55	high	Yes	Yes	Compara, OMA, OrthoDB, OrthoFinder, Panther, ZFIN
CFAP70	564542	ZDB-GENE-091204-50	cfap70	Human	118491	30726	CFAP70	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CFAP99	100534701	ZDB-GENE-161107-1	cfap99	Human	402160	51180	CFAP99	10	10.45	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, ZFIN
CFI	557557	ZDB-GENE-110922-7	cfi	Human	3426	5394	CFI	3	3.5	high	Yes	Yes	Homologene, OrthoFinder, ZFIN
CHCHD5	100000646		chchd5	Human	84269	17840	CHCHD5	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CHST6	100170782	ZDB-GENE-060810-74	chst6	Human	4166	6938	CHST6	12	12.36	high	Yes	Yes	eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
CHST8	796549	ZDB-GENE-090410-1	chst8	Human	64377	15993	CHST8	7	7.27	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, TreeFam, ZFIN
CIB3	100535603	ZDB-GENE-121121-1	cib3	Human	117286	24580	CIB3	11	11.49	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, RoundUp, TreeFam, ZFIN
CIT	100329792	ZDB-GENE-130530-981	cita	Human	11113	1985	CIT	8	8.48	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, TreeFam, ZFIN
CLCC1	100332460	ZDB-GENE-121114-9	clcc1	Human	23155	29675	CLCC1	9	9.69	high	Yes	Yes	Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, ZFIN
CLEC3A	100330122	ZDB-GENE-111103-33	clec3a	Human	10143	2052	CLEC3A	9	9.63	high	Yes	Yes	Compara, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, RoundUp, ZFIN
CLMP	567179		clmp	Human	79827	24039	CLMP	4	3.94	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder
CLN5	569407	ZDB-GENE-060908-1	cln5	Human	1203	2076	CLN5	14	14.25	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CLRN3	100000502		clrn3	Human	119467	20795	CLRN3	8	8.05	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther
CLTCL1	100330183	ZDB-GENE-130530-1029	cltcl1	Human	8218	2093	CLTCL1	6	6.47	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, Panther, TreeFam, ZFIN
CNNM1	562504		cnnm1	Human	26507	102	CNNM1	9	8.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
CNNM3	100329721		cnnm3	Human	26505	104	CNNM3	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CNTNAP3	564195	ZDB-GENE-091113-51	cntnap3	Human	79937	13834	CNTNAP3	11	11.27	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
COL13A1	323154	ZDB-GENE-030131-1874	col13a1	Human	1305	2190	COL13A1	4	4.51	high	Yes	Yes	Homologene, OrthoDB, OrthoFinder, ZFIN
COL21A1	100333837	ZDB-GENE-110607-3	col21a1	Human	81578	17025	COL21A1	10	10.29	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
COLEC10	794040	ZDB-GENE-131127-525	colec10	Human	10584	2220	COLEC10	7	7.55	high	Yes	Yes	Compara, Hieranoid, OMA, OrthoDB, OrthoFinder, Panther, ZFIN
COMP	100318854	ZDB-GENE-060606-1	comp	Human	1311	2227	COMP	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
CORIN	100320926	ZDB-GENE-060224-3	corin	Human	10699	19012	CORIN	10	10.31	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
CPEB2	100330483	ZDB-GENE-130530-639	cpeb2	Human	132864	21745	CPEB2	9	9.59	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, ZFIN
CRHR2	100335005		LOC100335005	Human	1395	2358	CRHR2	9	8.82	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
CRISPLD2	100535149	ZDB-GENE-130131-1	crispld2	Human	83716	25248	CRISPLD2	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
CSGALNACT1	793671	ZDB-GENE-121129-1	csgalnact1a	Human	55790	24290	CSGALNACT1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CSMD3	572419	ZDB-GENE-120214-1	csmd3b	Human	114788	19291	CSMD3	10	10.31	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
CTIF	100537309	ZDB-GENE-130530-1003	ctif	Human	9811	23925	CTIF	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
CTXN3	100331302		ctxn3	Human	613212	31110	CTXN3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CXCR5	100537421		cxcr5	Human	643	1060	CXCR5	3	3.01	high	Yes	Yes	Homologene, OrthoDB, OrthoFinder
CYSLTR2	100004739	ZDB-GENE-071016-1	cysltr2a	Human	57105	18274	CYSLTR2	8	8.29	high	Yes	Yes	eggNOG, OMA, OrthoDB, orthoMCL, Panther, Phylome, TreeFam, ZFIN
CYSTM1	100073329	ZDB-GENE-070615-27	zgc:165573	Human	84418	30239	CYSTM1	5	5.09	moderate	Yes	No	Hieranoid, Inparanoid, OMA, OrthoFinder, RoundUp
DCDC2C	101884562		dcdc2c	Human	728597	32696	DCDC2C	5	5.05	high	Yes	Yes	Compara, OMA, OrthoDB, OrthoFinder, Panther
DCHS2	100004458	ZDB-GENE-150311-2	dchs2	Human	54798	23111	DCHS2	8	8.52	high	Yes	Yes	Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, ZFIN
DCUN1D3	557682	ZDB-GENE-070928-2	dcun1d3	Human	123879	28734	DCUN1D3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DENND4C	558626	ZDB-GENE-120727-13	dennd4c	Human	55667	26079	DENND4C	14	14.4	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
DEPDC1B	100006170	ZDB-GENE-080708-2	depdc1b	Human	55789	24902	DEPDC1B	9	9.29	high	Yes	Yes	eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
DHX29	553505	ZDB-GENE-130530-606	dhx29	Human	54505	15815	DHX29	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
DHX30	570735	ZDB-GENE-130530-833	dhx30	Human	22907	16716	DHX30	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
DIRAS2	560940		diras2	Human	54769	19323	DIRAS2	12	11.96	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
DLC1	567965	ZDB-GENE-130206-12	dlc1	Human	10395	2897	DLC1	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
DMXL1	100537613	ZDB-GENE-030131-8830	dmxl1	Human	1657	2937	DMXL1	3	3.4	moderate	Yes	No	eggNOG, OrthoFinder, ZFIN
DNAH10	569992	ZDB-GENE-060531-163	si:dkeyp-86b9.1	Human	196385	2941	DNAH10	12	11.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
DNAH2	556023	ZDB-GENE-130530-910	dnah2	Human	146754	2948	DNAH2	14	14.4	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
DNAH3	100334351	ZDB-GENE-091112-7	dnah3	Human	55567	2949	DNAH3	10	10.32	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
DOC2A	558815	ZDB-GENE-090706-1	doc2a	Human	8448	2985	DOC2A	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DOK4	568912	ZDB-GENE-041008-91	dok4	Human	55715	19868	DOK4	14	14.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
DPEP2	100534995	ZDB-GENE-120419-2	dpep2	Human	64174	23028	DPEP2	13	13.4	high	Yes	Yes	Compara, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DQX1	100002601	ZDB-GENE-150224-1	dqx1	Human	165545	20410	DQX1	3	3.51	high	Yes	Yes	OrthoDB, OrthoFinder, ZFIN
DST	100333215	ZDB-GENE-030131-3399	dst	Human	667	1090	DST	8	8.3	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
DTHD1	100536769	ZDB-GENE-140106-180	dthd1	Human	401124	37261	DTHD1	12	12.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, RoundUp, TreeFam, ZFIN
DTX3	393500	ZDB-GENE-040426-1640	zgc:66440	Human	196403	24457	DTX3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
DUSP27	792623	ZDB-GENE-140513-1	dusp27	Human	92235	25034	DUSP27	9	9.08	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp
DXO	494170	ZDB-GENE-040718-286	dxo	Human	1797	2992	DXO	10	10.32	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
DYNC1H1	335110	ZDB-GENE-030131-7050	dync1h1	Human	1778	2961	DYNC1H1	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
DYNLRB2	100001191	ZDB-GENE-120709-101	dynlrb2	Human	83657	15467	DYNLRB2	11	11.35	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam, ZFIN
DYRK3	100141364	ZDB-GENE-080219-31	dyrk3	Human	8444	3094	DYRK3	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
