ZebrafishGeneID	ZebrafishGeneID.1	ZFINID	ZebrafishSymbol	Species	MouseGeneID	MGIID	MouseSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
ANKRD66	101886816		ankrd66	Mouse	100043332	1925106	Ankrd66	6	6.02	high	Yes	Yes	Compara, Homologene, Inparanoid, OMA, OrthoFinder, RoundUp
ANO7	556876	ZDB-GENE-131125-81	si:dkey-83h2.5	Mouse	404545	3052714	Ano7	11	10.86	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
AP3B1	563316	ZDB-GENE-031112-8	ap3b1a	Mouse	11774	1333879	Ap3b1	5	5.37	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, TreeFam, ZFIN
AP3B2	100000165		ap3b2	Mouse	11775	1100869	Ap3b2	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
APBB3	101883158	ZDB-GENE-140106-53	apbb3	Mouse	225372	108404	Apbb3	10	10.32	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
AREL1	100332031	ZDB-GENE-140106-259	arel1	Mouse	68497	1915747	Arel1	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
ARF5	378724	ZDB-GENE-030910-5	arf5	Mouse	11844	99434	Arf5	7	6.72	moderate	Yes	No	eggNOG, Homologene, Inparanoid, OrthoFinder, orthoMCL, Phylome, TreeFam
ARHGAP18	100004252	ZDB-GENE-070502-1	arhgap18	Mouse	73910	1921160	Arhgap18	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ARHGAP28	492794	ZDB-GENE-041114-147	arhgap28	Mouse	268970	2147003	Arhgap28	8	8.18	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Phylome, TreeFam, ZFIN
ARMC6	555425	ZDB-GENE-100616-1	armc6	Mouse	76813	1924063	Armc6	8	8.54	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther, ZFIN
ARSJ	559800	ZDB-GENE-111215-1	arsj	Mouse	271970	2443513	Arsj	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATG2A	101883461	ZDB-GENE-091204-142	si:ch73-45o6.2	Mouse	329015	1916291	Atg2a	8	8.05	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther
ATP7B	556499	ZDB-GENE-061220-5	atp7b	Mouse	11979	103297	Atp7b	11	11.24	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ATXN1L	793927	ZDB-GENE-090908-1	atxn1l	Mouse	52335	3694797	Atxn1l	8	8.07	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp
BBOF1	565282	ZDB-GENE-081105-138	si:ch211-163l21.10	Mouse	72873	1920123	Bbof1	10	9.92	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
BCL6B	793278	ZDB-GENE-120907-1	bcl6b	Mouse	12029	1278332	Bcl6b	7	7.33	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, ZFIN
BMT2	558558	ZDB-GENE-060825-17	bmt2	Mouse	101148	2141466	Bmt2	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
BNC1	568786	ZDB-GENE-030131-3725	bnc1	Mouse	12173	1097164	Bnc1	13	13.22	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
BRPF1	393991	ZDB-GENE-040426-731	brpf1	Mouse	78783	1926033	Brpf1	4	4.51	moderate	Yes	No	Homologene, OrthoDB, OrthoFinder, ZFIN
BRSK1	558390	ZDB-GENE-131122-54	si:dkey-16p21.7	Mouse	381979	2685946	Brsk1	5	4.86	moderate	Yes	No	eggNOG, Homologene, orthoMCL, Panther, TreeFam
BUD13	564510	ZDB-GENE-030131-6333	bud13	Mouse	215051	2443443	Bud13	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
C1QTNF7	564609		c1qtnf7	Mouse	109323	1925911	C1qtnf7	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
C2CD2	100332559		c2cd2	Mouse	207781	1891883	C2cd2	7	7.04	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther
C5AR1	100000959		c5ar1	Mouse	12273	88232	C5ar1	10	9.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, OMA, OrthoDB, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CAAP1	100329847		caap1	Mouse	67770	1915020	Caap1	12	11.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CABZ01055343.1	100536527	ZDB-GENE-150903-1	dnaaf3l	Mouse	436022	3588207	Dnaaf3	7	7.09	moderate	Yes	No	Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, RoundUp
CACUL1	100538081	ZDB-GENE-170113-2	cacul1	Mouse	78832	1926082	Cacul1	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CAMSAP3	556256	ZDB-GENE-060503-811	camsap3	Mouse	69697	1916947	Camsap3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CAPN15	100330198	ZDB-GENE-140106-70	capn15	Mouse	50817	1355075	Capn15	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CASKIN1	563678	ZDB-GENE-071115-3	caskin1	Mouse	268932	2442952	Caskin1	9	9.38	high	Yes	Yes	Compara, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, ZFIN
CASKIN2	564253	ZDB-GENE-041001-137	si:ch211-119c20.2	Mouse	140721	2157062	Caskin2	10	9.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
CASR	560607	ZDB-GENE-050119-8	casr	Mouse	12374	1351351	Casr	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
CBFA2T3	563252	ZDB-GENE-070209-2	cbfa2t3	Mouse	12398	1338013	Cbfa2t3	13	13.25	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CC2D1A	100001297	ZDB-GENE-110908-1	cc2d1a	Mouse	212139	2384831	Cc2d1a	13	13.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
CCDC181	566663	ZDB-GENE-060503-312	ccdc181	Mouse	74895	1922145	Ccdc181	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CCDC39	100005620	ZDB-GENE-110603-1	ccdc39	Mouse	51938	1289263	Ccdc39	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CCDC57	100318317	ZDB-GENE-090603-1	ccdc57	Mouse	71276	1918526	Ccdc57	12	12.46	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
CCDC89	100136847	ZDB-GENE-080204-56	zgc:172182	Mouse	70054	1917304	Ccdc89	10	9.92	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
CCKAR	569038	ZDB-GENE-120404-2	cckar	Mouse	12425	99478	Cckar	12	12.24	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CCNB1IP1	562825		ccnb1ip1	Mouse	239083	2685134	Ccnb1ip1	7	7.04	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther
CCNO	101883490		ccno	Mouse	218630	2145534	Ccno	6	6.03	high	Yes	Yes	Compara, Hieranoid, Homologene, OrthoFinder, OrthoInspector, Panther
CD37	100124595	ZDB-GENE-070820-17	cd37	Mouse	12493	88330	Cd37	5	4.91	high	Yes	Yes	Compara, OrthoDB, Panther, Phylome, TreeFam
CDH19	100332418	ZDB-GENE-130530-766	cdh19	Mouse	227485	3588198	Cdh19	5	5.37	high	Yes	Yes	orthoMCL, Panther, Phylome, TreeFam, ZFIN
CDK18	100150007	ZDB-GENE-141215-51	si:dkey-166c18.1	Mouse	18557	97518	Cdk18	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CDPF1	563220	ZDB-GENE-041210-170	si:ch211-239e6.4	Mouse	72355	1919605	Cdpf1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CELF6	794913	ZDB-GENE-120215-101	si:dkey-205h23.2	Mouse	76183	1923433	Celf6	5	5.04	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder, Panther
CEP120	100334628		cep120	Mouse	225523	2147298	Cep120	8	7.81	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, Panther, Phylome, TreeFam
CEP192	565521	ZDB-GENE-100922-163	cep192	Mouse	70799	1918049	Cep192	4	4.04	high	Yes	Yes	Compara, OMA, OrthoFinder, Panther
CFI	557557	ZDB-GENE-110922-7	cfi	Mouse	12630	105937	Cfi	2	2	high	Yes	Yes	Homologene, OrthoFinder
CHCHD5	100000646		chchd5	Mouse	66170	1913420	Chchd5	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CHST6	100170782	ZDB-GENE-060810-74	chst6	Mouse	56773	1931825	Chst5	13	13.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
CHST8	796549	ZDB-GENE-090410-1	chst8	Mouse	68947	1916197	Chst8	6	5.77	moderate	Yes	No	eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, TreeFam
CIB3	100535603	ZDB-GENE-121121-1	cib3	Mouse	234421	2685953	Cib3	11	11.49	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, RoundUp, TreeFam, ZFIN
CIT	100329792	ZDB-GENE-130530-981	cita	Mouse	12704	105313	Cit	9	9.41	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, TreeFam, ZFIN
CLCC1	100332460	ZDB-GENE-121114-9	clcc1	Mouse	229725	2385186	Clcc1	7	7.18	high	Yes	Yes	Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, Panther, RoundUp
CLDN18	557209	ZDB-GENE-130530-867	cldn18	Mouse	56492	1929209	Cldn18	11	11.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam, ZFIN
CLEC3A	100330122	ZDB-GENE-111103-33	clec3a	Mouse	403395	2685642	Clec3a	9	9.63	high	Yes	Yes	Compara, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, RoundUp, ZFIN
CLMP	567179		clmp	Mouse	71566	1918816	Clmp	3	2.93	high	Yes	Yes	Compara, Homologene, OrthoFinder
CLN5	569407	ZDB-GENE-060908-1	cln5	Mouse	211286	2442253	Cln5	13	13.24	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CLRN3	100000502		clrn3	Mouse	212070	2142022	Clrn3	7	7.04	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther
CNNM1	562504		cnnm1	Mouse	83674	1891366	Cnnm1	9	8.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
CNNM3	100329721		cnnm3	Mouse	94218	2151055	Cnnm3	12	11.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CNTNAP3	564195	ZDB-GENE-091113-51	cntnap3	Mouse	238680	3588199	Cntnap3	10	9.77	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
COL13A1	323154	ZDB-GENE-030131-1874	col13a1	Mouse	12817	1277201	Col13a1	4	4.51	high	Yes	Yes	Homologene, OrthoDB, OrthoFinder, ZFIN
COMP	100318854	ZDB-GENE-060606-1	comp	Mouse	12845	88469	Comp	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
CORIN	100320926	ZDB-GENE-060224-3	corin	Mouse	53419	1349451	Corin	9	9.3	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
CPEB2	100330483	ZDB-GENE-130530-639	cpeb2	Mouse	231207	2442640	Cpeb2	7	7.08	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, Panther
CRISPLD2	100535149	ZDB-GENE-130131-1	crispld2	Mouse	78892	1926142	Crispld2	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
CSGALNACT1	793671	ZDB-GENE-121129-1	csgalnact1a	Mouse	234356	2442354	Csgalnact1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
CSMD3	572419	ZDB-GENE-120214-1	csmd3b	Mouse	239420	2386403	Csmd3	9	8.81	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
CTIF	100537309	ZDB-GENE-130530-1003	ctif	Mouse	269037	2685518	Ctif	12	12.48	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
CTXN3	100331302		ctxn3	Mouse	629147	3642816	Ctxn3	12	11.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CXCR5	100537421		cxcr5	Mouse	12145	103567	Cxcr5	2	2	high	Yes	Yes	Homologene, OrthoFinder
CYSTM1	100073329	ZDB-GENE-070615-27	zgc:165573	Mouse	66060	1913310	Cystm1	6	6.09	moderate	Yes	No	Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, RoundUp
DCDC2C	101884562		dcdc2c	Mouse	68511	1915761	Dcdc2c	5	5.05	high	Yes	Yes	Compara, OMA, OrthoDB, OrthoFinder, Panther
DCUN1D3	557682	ZDB-GENE-070928-2	dcun1d3	Mouse	233805	2679003	Dcun1d3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DENND4C	558626	ZDB-GENE-120727-13	dennd4c	Mouse	329877	1914769	Dennd4c	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
DEPDC1B	100006170	ZDB-GENE-080708-2	depdc1b	Mouse	218581	2145425	Depdc1b	9	9.29	high	Yes	Yes	eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
DHX29	553505	ZDB-GENE-130530-606	dhx29	Mouse	218629	2145374	Dhx29	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
DHX30	570735	ZDB-GENE-130530-833	dhx30	Mouse	72831	1920081	Dhx30	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
DIRAS2	560940		diras2	Mouse	68203	1915453	Diras2	12	11.96	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
DLC1	567965	ZDB-GENE-130206-12	dlc1	Mouse	50768	1354949	Dlc1	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
DOC2A	558815	ZDB-GENE-090706-1	doc2a	Mouse	13446	109446	Doc2a	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DOK4	568912	ZDB-GENE-041008-91	dok4	Mouse	114255	2148865	Dok4	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DPEP2	100534995	ZDB-GENE-120419-2	dpep2	Mouse	319446	2442042	Dpep2	14	14.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
DQX1	100002601	ZDB-GENE-150224-1	dqx1	Mouse	93838	2136388	Dqx1	3	3.51	high	Yes	Yes	OrthoDB, OrthoFinder, ZFIN
DRD5	100536970	ZDB-GENE-130522-2	drd5a	Mouse	13492	94927	Drd5	2	2.5	moderate	Yes	No	OrthoFinder, ZFIN
DST	100333215	ZDB-GENE-030131-3399	dst	Mouse	13518	104627	Dst	8	7.8	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
DTX3	393500	ZDB-GENE-040426-1640	zgc:66440	Mouse	80904	2135752	Dtx3	12	11.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
DUPD1	664697	ZDB-GENE-060312-23	dupd1	Mouse	435391	3647127	Dupd1	10	10.6	high	Yes	Yes	Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, ZFIN
DUSP27	792623	ZDB-GENE-140513-1	dusp27	Mouse	240892	2685055	Dusp27	8	8.07	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp
DXO	494170	ZDB-GENE-040718-286	dxo	Mouse	112403	1890444	Dxo	8	8.3	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
DYNC1H1	335110	ZDB-GENE-030131-7050	dync1h1	Mouse	13424	103147	Dync1h1	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
DYNLRB2	100001191	ZDB-GENE-120709-101	dynlrb2	Mouse	75465	1922715	Dynlrb2	11	11.35	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam, ZFIN
DYRK3	100141364	ZDB-GENE-080219-31	dyrk3	Mouse	226419	1330300	Dyrk3	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
E2F2	568846	ZDB-GENE-030131-704	si:ch211-160f23.5	Mouse	242705	1096341	E2f2	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EARS2	751732	ZDB-GENE-060825-214	zgc:153247	Mouse	67417	1914667	Ears2	10	10.03	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
ECEL1	100332538		LOC100332538	Mouse	13599	1343461	Ecel1	3	3.03	high	Yes	Yes	Compara, OrthoFinder, Panther
EFEMP1	100332567	ZDB-GENE-130403-1	efemp1	Mouse	216616	1339998	Efemp1	14	14.25	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
EFNA4	100003450	ZDB-GENE-100922-64	si:dkey-246i14.3	Mouse	13639	106643	Efna4	7	7.12	high	Yes	Yes	Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther
EGFLAM	799405		egflam	Mouse	268780	2146149	Egflam	8	7.81	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
EHMT2	569250	ZDB-GENE-010501-6	ehmt2	Mouse	110147	2148922	Ehmt2	9	9.31	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
EIF2AK4	100149925	ZDB-GENE-090302-1	eif2ak4	Mouse	27103	1353427	Eif2ak4	6	6.54	high	Yes	Yes	Compara, Homologene, OMA, OrthoFinder, Panther, ZFIN
EMB	100141497	ZDB-GENE-070705-158	emb	Mouse	13723	95321	Emb	7	6.85	high	Yes	Yes	Compara, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome
EML6	100000931	ZDB-GENE-090512-5	eml6	Mouse	237711	2442895	Eml6	8	8.3	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, orthoMCL, Panther, TreeFam, ZFIN
