MouseGeneID	MouseGeneID.1	MGIID	MouseSymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
1700016C15Rik	69428	1916678	1700016C15Rik	Human	200159	30435	C1orf100	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700016H13Rik	74218	1921468	1700016H13Rik	Human	132989	28386	C4orf36	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700016K19Rik	74230	1921480	1700016K19Rik	Human	400566	33800	C17orf97	11	11.23	high	Yes	Yes	Compara, eggNOG, HGNC, Homologene, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700017B05Rik	74211	1921461	1700017B05Rik	Human	56905	24497	C15orf39	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700018B08Rik	76405	1923655	1700018B08Rik	Human	100506581	40033	C16orf95	10	10.43	high	Yes	Yes	Compara, eggNOG, HGNC, Homologene, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
1700018L24Rik	75528	1922778	Tex29	Human	121793	20370	TEX29	11	11.25	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700019B03Rik	76406	1923656	Tex45	Human	374877	24745	TEX45	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700019D03Rik	67080	1914330	1700019D03Rik	Human	84281	28191	C2orf88	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700019L03Rik	227736	2447809	Cfap157	Human	286207	27843	CFAP157	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700019N12Rik	67077	1914327	Catsperz	Human	25858	19231	CATSPERZ	11	11.4	high	Yes	Yes	Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome
1700019O17Rik	71863	1919113	Tex44	Human	165100	28563	TEX44	12	12.38	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
1700020L24Rik	66330	1913580	1700020L24Rik	Human	146853	29581	C17orf50	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700022I11Rik	67317	1914567	1700022I11Rik	Human	138724	31418	C9orf131	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700023A16Rik	69371	1916621	Smco2	Human	341346	34448	SMCO2	14	14.27	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700023E05Rik	71868	1919118	Thegl	Human	100506564	43771	THEGL	12	12.48	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
1700025E21Rik	75647	1922897	Ssmem1	Human	136263	29580	SSMEM1	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700025G04Rik	69399	1916649	1700025G04Rik	Human	81563	15494	C1orf21	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700026D08Rik	75556	1922806	Cfap161	Human	161502	26782	CFAP161	13	13.33	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
1700026J04Rik	71864	1919114	Fam217a	Human	222826	21362	FAM217A	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700027D21Rik	76573	1923823	Spatc1l	Human	84221	1298	SPATC1L	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700028P14Rik	67483	1914733	1700028P14Rik	Human	138255	31422	C9orf135	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700029G01Rik	66938	1914188	Sh3d21	Human	79729	26236	SH3D21	12	12.3	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome
1700029I15Rik	75641	1916742	1700029I15Rik	Human	143678	37213	C11orf94	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700029J07Rik	69479	1916729	1700029J07Rik	Human	441054	34346	C4orf47	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700030J22Rik	69528	1916778	1700030J22Rik	Human	123775	26525	C16orf46	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700030K09Rik	72254	1919504	1700030K09Rik	Human	84167	26141	C19orf44	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700034F02Rik	73324	1920574	Clhc1	Human	130162	26453	CLHC1	13	13.39	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
1700034J05Rik	73344	1920594	1700034J05Rik	Human	728858	34452	C12orf71	12	12.48	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
1700037C18Rik	73261	1920511	1700037C18Rik	Human	646174	34455	C16orf90	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700037H04Rik	67326	1914576	1700037H04Rik	Human	54976	15873	C20orf27	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700039E15Rik	76713	1923963	Slc6a21	Human	28968	13622	SLC6A16	4	3.78	moderate	Yes	No	eggNOG, OrthoDB, Phylome, TreeFam
1700057K13Rik	73435	1920685	Tex35	Human	84066	25366	TEX35	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1700065I17Rik	67343	1914593	Tex43	Human	389320	33767	TEX43	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700066M21Rik	73467	1920717	1700066M21Rik	Human	205327	26799	C2orf69	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700067K01Rik	73453	1920703	1700067K01Rik	Human	646457	34354	C19orf67	13	13.38	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
1700084C01Rik	78465	1925715	Ccdc190	Human	339512	28736	CCDC190	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700086L19Rik	74284	1921534	1700086L19Rik	Human	646113	44296	LINC00643	4	4.13	high	Yes	Yes	Hieranoid, OrthoInspector, Panther, RoundUp
1700088E04Rik	27660	1920774	1700088E04Rik	Human	84645	18589	C22orf23	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700093K21Rik	67358	1914608	1700093K21Rik	Human	339804	34439	C2orf74	13	13.33	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
1700094D03Rik	73545	1920795	1700094D03Rik	Human	388701	32305	C1orf189	11	11.45	high	Yes	Yes	HGNC, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700101E01Rik	329375	2685669	Cfap77	Human	389799	33776	CFAP77	14	14.39	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
1700102P08Rik	112418	2148248	1700102P08Rik	Human	375341	24771	C3orf62	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700108M19Rik	71156	1920830	Lrrc72	Human	100506049	42972	LRRC72	11	11.46	high	Yes	Yes	HGNC, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
1700112E06Rik	76633	1923883	Lrmda	Human	83938	23405	LRMDA	14	14.39	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
1700113H08Rik	76640	1923890	1700113H08Rik	Human	374470	24729	C12orf42	12	12.36	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
1700123I01Rik	622554	1923913	Majin	Human	283129	27441	MAJIN	11	11.32	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
1700123O20Rik	58248	1920893	1700123O20Rik	Human	55017	20270	C14orf119	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1700125H20Rik	73634	1920884	1700125H20Rik	Human	124773	26990	C17orf64	13	13.26	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
1810009A15Rik	66276	1913526	1810009A15Rik	Human	102288414	51238	C11orf98	8	8.54	high	Yes	Yes	Compara, HGNC, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, Panther
1810010H24Rik	69066	1916316	1810010H24Rik	Human	284018	27568	C17orf58	11	11.53	high	Yes	Yes	Compara, HGNC, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
1810013L24Rik	69053	1916303	1810013L24Rik	Human	29035	30103	C16orf72	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1810019J16Rik	69073	1916323	Kdf1	Human	126695	26624	KDF1	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1810030O07Rik	69155	1916405	1810030O07Rik	Human	159013	28589	CXorf38	13	13.38	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
1810037I17Rik	67704	1914954	1810037I17Rik	Human	401152	19225	C4orf3	11	11.38	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
1810046K07Rik	69809	1917059	1810046K07Rik	Human	341032	30527	C11orf53	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
1810055G02Rik	72056	1919306	1810055G02Rik	Human	53838	1174	C11orf24	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
2010300C02Rik	72097	1919347	2010300C02Rik	Human	343990	33454	KIAA1211L	11	11.45	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, TreeFam
2200002D01Rik	72275	1919525	2200002D01Rik	Human	64073	16668	C19orf33	10	10.32	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, RoundUp
2210013O21Rik	70123	1917373	Nbdy	Human	550643	50713	NBDY	2	2.51	high	Yes	Yes	HGNC, OMA
2210016F16Rik	70153	1917403	2210016F16Rik	Human	84267	28144	C9orf64	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
2210016L21Rik	72357	1919607	2210016L21Rik	Human	64897	25719	C12orf43	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
2210408I21Rik	72371	1919621	2210408I21Rik	Human	285600	28532	KIAA0825	10	10.59	high	Yes	Yes	eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp
2210415F13Rik	70163	1917413	Lypd8	Human	646627	44208	LYPD8	12	12.43	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
2300002M23Rik	69542	1916792	2300002M23Rik	Human	29113	13927	C6orf15	14	14.29	high	Yes	Yes	Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
