qp_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.55822599797441e-73	0.94455720701592	0.502	0.1	7.59901856122314e-69	PH 1	CG13917
4.88205202966686e-72	0.669757611917177	0.966	0.971	8.13886893865763e-68	PH 1	Hrb27C
1.63367146417506e-71	0.775685844711154	0.995	0.99	2.72349369792624e-67	PH 1	CNBP
1.67537433228754e-71	0.909701377597592	0.502	0.119	2.79301654935656e-67	PH 1	wech
2.40560960887768e-70	0.755465146473885	0.937	0.866	4.01039177895999e-66	PH 1	ctp
3.7694243432593e-68	0.898181473207928	0.556	0.269	6.28400732264757e-64	PH 1	Iswi
6.55801050923053e-68	0.97561749940921	0.7	0.439	1.09328593199382e-63	PH 1	Pen
5.48865823216569e-67	0.937361446713579	0.42	0.082	9.15014213884341e-63	PH 1	Kank
6.00881068867076e-67	0.902810631758994	0.565	0.226	1.0017288299083e-62	PH 1	DCP2
1.65289443526217e-63	0.854405815808504	0.435	0.068	2.75554031302556e-59	PH 1	Socs36E
8.70442427090382e-63	0.86205612631554	0.647	0.375	1.45111457020238e-58	PH 1	crp
3.54738622379796e-62	0.782236568797184	0.44	0.091	5.91384757369358e-58	PH 1	feo
1.1401807529683e-61	0.926167841536937	0.628	0.356	1.90079533327345e-57	PH 1	CG8677
1.92178745935095e-61	0.727538167673906	0.831	0.754	3.20381187348396e-57	PH 1	Mapmodulin
3.17252302062276e-61	0.500231876032293	0.261	0.01	5.2889131276802e-57	PH 1	EndoU
2.93924696544403e-60	0.666134905614356	0.961	0.957	4.90001861609175e-56	PH 1	smt3
4.76618750906831e-60	0.862146780384763	0.618	0.339	7.94571119636778e-56	PH 1	Top2
5.15915065539276e-59	0.776554188991715	0.729	0.58	8.60082005760526e-55	PH 1	gish
5.54036555874918e-59	0.826062235026381	0.71	0.525	9.23634342299076e-55	PH 1	Smr
6.71247483386885e-57	0.783457181379836	0.353	0.031	1.11903667955428e-52	PH 1	mgl
1.92782404354127e-56	0.538116326786682	0.29	0.018	3.21387546298766e-52	PH 1	btsz
4.73573178624731e-56	0.73008094233111	0.367	0.051	7.8949384608529e-52	PH 1	sdt
1.12394445390649e-55	0.649919449702309	0.329	0.031	1.87372779910751e-51	PH 1	NaPi-III
2.40393626899971e-55	0.823443669703587	0.628	0.409	4.00760215404941e-51	PH 1	nej
6.01443951301984e-55	0.805964851745898	0.425	0.127	1.00266721121554e-50	PH 1	CG34401
2.27891568439807e-53	0.909000265692117	0.56	0.252	3.79918033746003e-49	PH 1	wde
1.42034770398724e-52	0.768472916086019	0.768	0.646	2.36786165731713e-48	PH 1	AGO1
6.39418136101148e-52	0.799567485373229	0.614	0.44	1.06597397469422e-47	PH 1	Tlk
3.97561157724635e-51	0.796843735417218	0.512	0.19	6.62774206042739e-47	PH 1	Eph
9.21647135161809e-51	0.61801000147654	0.333	0.037	1.53647793902825e-46	PH 1	ckn
9.21657028697417e-50	0.757938861638108	0.773	0.838	1.53649443254146e-45	PH 1	Imp
1.1387469525614e-49	0.611995010458804	0.295	0.037	1.8984050446151e-45	PH 1	ci
4.07699741482228e-49	0.627861234540794	0.821	0.761	6.79676239025022e-45	PH 1	Su(var)205
8.41202109211687e-49	0.772659599325449	0.599	0.357	1.4023680362668e-44	PH 1	CG8108
3.22893909881731e-48	0.714144735210758	0.643	0.476	5.38296437163833e-44	PH 1	CG7971
8.18498472093365e-48	0.742093500354404	0.483	0.186	1.36451880282685e-43	PH 1	skd
4.52059625756823e-47	0.639427425157959	0.797	0.673	7.53628602099199e-43	PH 1	Hrb98DE
1.40438479557593e-46	0.696842599301656	0.527	0.241	2.34124989270463e-42	PH 1	Psi
3.06293483545601e-46	0.642081008007235	0.343	0.061	5.10621866418871e-42	PH 1	Vang
2.09889087654695e-45	0.769482248870805	0.57	0.352	3.49906098029143e-41	PH 1	E(bx)
3.42778427290087e-45	0.736837365366042	0.483	0.172	5.71445916135304e-41	PH 1	CG45049
5.15876695263506e-45	0.687677355426497	0.729	0.587	8.60018038673791e-41	PH 1	Dek
1.24245239046161e-44	0.529293858180451	0.285	0.033	2.07129238013855e-40	PH 1	RhoGEF4
6.20748619043091e-44	0.779312951514732	0.609	0.365	1.03485002280674e-39	PH 1	upSET
9.80399535673628e-44	0.728046587110167	0.58	0.293	1.63442406592151e-39	PH 1	cass
1.92833352770504e-43	0.654568345185283	0.734	0.603	3.21472482403707e-39	PH 1	Set
2.27435576661058e-43	0.651563134925138	0.894	0.848	3.79157849851649e-39	PH 1	His2Av
6.84238965352379e-43	0.719146740472006	0.565	0.3	1.14069477913895e-38	PH 1	CG8188
1.70299932333463e-42	0.890884777417918	0.589	0.289	2.83907017193115e-38	PH 1	PCNA
1.0185088303593e-41	0.854514786336983	0.44	0.162	1.69795607109198e-37	PH 1	enc
6.34026547229205e-41	0.652142653894632	0.459	0.163	1.05698565688581e-36	PH 1	grp
8.69095339192969e-41	0.708387042901914	0.671	0.467	1.4488688399686e-36	PH 1	glo
1.83605327434813e-40	0.705391039647073	0.425	0.156	3.06088441366577e-36	PH 1	slgA
3.07512134347493e-40	0.606647559104601	0.261	0.035	5.12653479170706e-36	PH 1	DOR
4.35729313644756e-40	0.824898344615429	0.415	0.138	7.26404338777173e-36	PH 1	unc-13
5.47831092416687e-40	0.672401738787359	0.541	0.306	9.13289214167858e-36	PH 1	tws
7.42190812770807e-40	0.678846482102321	0.628	0.458	1.23730630397021e-35	PH 1	nocte
4.63679641466799e-39	0.734973421540708	0.589	0.379	7.73000330289301e-35	PH 1	Fs(2)Ket
5.37154285156371e-39	0.577061839918595	0.7	0.577	8.95489908784185e-35	PH 1	Aps
6.74587061016795e-39	0.694357271801215	0.425	0.237	1.1246040894211e-34	PH 1	trx
8.42067552734492e-39	0.682548449987627	0.367	0.099	1.40381081716367e-34	PH 1	Dg
2.14143161305916e-38	0.658805755774312	0.831	0.709	3.56998064213093e-34	PH 1	Pdcd4
9.02505390611383e-38	0.682205411715824	0.469	0.181	1.50456673668824e-33	PH 1	tou
1.07224284268188e-37	0.529637195692033	0.251	0.039	1.78753604303496e-33	PH 1	Egfr
1.20012745232142e-37	0.530051205349641	0.256	0.035	2.00073247576503e-33	PH 1	tkv
4.02315019876618e-37	0.639536853966742	0.522	0.305	6.7069936963631e-33	PH 1	Caper
4.83115039905451e-37	0.730553451091192	0.507	0.279	8.05401083026377e-33	PH 1	osa
6.16942344284499e-37	0.616824302662484	0.585	0.42	1.02850458215669e-32	PH 1	PPP4R2r
1.83438200945314e-36	0.519009708890208	0.256	0.037	3.05809824795933e-32	PH 1	ph-p
8.93217910209775e-36	0.685871220739271	0.44	0.204	1.48908357811072e-31	PH 1	RhoGAPp190
1.05036531368713e-35	0.637250673175331	0.483	0.286	1.75106401444781e-31	PH 1	HnRNP-K
7.13427531142745e-35	0.559318488313211	0.493	0.389	1.18935503716807e-30	PH 1	CG8223
1.75664929347536e-34	0.619641081966657	0.676	0.515	2.92851003715277e-30	PH 1	mask
4.18822681993979e-34	0.61617065863017	0.599	0.41	6.98219293152162e-30	PH 1	CycT
4.78692857939394e-34	0.584489393621018	0.744	0.66	7.98028863470764e-30	PH 1	bel
1.43084891411038e-33	0.72900008060062	0.498	0.236	2.38536822471342e-29	PH 1	glu
1.52359281263551e-33	0.598661096484124	0.551	0.377	2.53998157794465e-29	PH 1	Rox8
1.59644071754681e-33	0.462825630433396	0.961	0.984	2.66142632022229e-29	PH 1	betaTub56D
1.81231344974378e-33	0.667364225232494	0.391	0.137	3.02130775206785e-29	PH 1	Acf
3.86555093681017e-33	0.619972389302978	0.498	0.275	6.44425996675623e-29	PH 1	CG2924
1.96292166649319e-32	0.554367233876029	0.391	0.124	3.2723867102108e-28	PH 1	Rok
3.98085089462419e-32	0.452192517555889	0.903	0.909	6.63647652642798e-28	PH 1	mts
6.69275144026398e-32	0.578353524763824	0.531	0.313	1.11574859260641e-27	PH 1	endos
7.01192229497231e-32	0.444391886905343	0.845	0.86	1.16895756579483e-27	PH 1	eIF4H1
8.95848112412328e-32	0.492070727597916	0.807	0.764	1.49346838820259e-27	PH 1	yps
9.49752547374735e-32	0.472829017794199	0.957	0.966	1.58333247172842e-27	PH 1	sqd
9.69898346045174e-32	0.56866536919472	0.324	0.104	1.61691753269191e-27	PH 1	baz
1.23012188273301e-31	0.613414798452111	0.348	0.13	2.05073619070419e-27	PH 1	stau
3.08500674209616e-31	0.521546961186363	0.705	0.606	5.1430147397485e-27	PH 1	ben
5.08457857467706e-31	0.619477059515521	0.498	0.26	8.47650094184413e-27	PH 1	lid
7.22548964202117e-31	0.596885465610391	0.469	0.277	1.20456137822135e-26	PH 1	RhoGAP19D
8.59312594847838e-31	0.575425325125446	0.599	0.436	1.43256002687083e-26	PH 1	SmD3
8.78591121936587e-31	0.563469198045859	0.425	0.192	1.46469925938048e-26	PH 1	Cka
1.18975573526403e-30	0.602584317696454	0.623	0.458	1.98344178625867e-26	PH 1	Mi-2
2.26036234654781e-30	0.601216184106129	0.425	0.184	3.76825006792985e-26	PH 1	CG10555
2.37618989816036e-30	0.606873337386671	0.527	0.289	3.96134617922314e-26	PH 1	sina
2.43314410396375e-30	0.74950401961782	0.546	0.346	4.05629453571796e-26	PH 1	Hex-A
3.10524967595752e-30	0.592658848410926	0.58	0.459	5.17676173478877e-26	PH 1	Acn
4.5307369452111e-30	0.55953968325988	0.411	0.15	7.55319156136142e-26	PH 1	tud
1.81653504950585e-29	0.451100905184524	0.309	0.069	3.0283455810312e-25	PH 1	yrt
2.42038333461378e-29	0.521969570332208	0.609	0.538	4.03502105713463e-25	PH 1	Uba2
2.90425154714197e-29	0.518060220760726	0.251	0.052	4.84167775424037e-25	PH 1	bbg
5.1554342128651e-29	0.641268930311019	0.386	0.156	8.59462437626741e-25	PH 1	Spred
5.64962702347167e-29	0.508651716375071	0.386	0.126	9.41849321082962e-25	PH 1	Sema2a
8.27764642884962e-29	0.434110866656614	0.266	0.045	1.37996643615352e-24	PH 1	sinu
1.73314853772799e-28	0.564134668455779	0.546	0.347	2.88933192724633e-24	PH 1	nonA
1.94515963174925e-28	0.536565096528771	0.401	0.176	3.24277562208918e-24	PH 1	HIP
2.29786058325789e-28	0.635033433781382	0.435	0.27	3.83076337834923e-24	PH 1	Jarid2
2.4120734907541e-28	0.525642506895694	0.633	0.475	4.02116771643616e-24	PH 1	rump
2.526145064153e-28	0.616978131406328	0.372	0.134	4.21133643644946e-24	PH 1	CG7154
4.98901338665522e-28	0.630488040321687	0.546	0.443	8.31718421689291e-24	PH 1	CG10077
7.23292305664581e-28	0.579629131986124	0.469	0.272	1.20580060277342e-23	PH 1	Rga
1.92678325985496e-27	0.561548281999374	0.483	0.336	3.21214037250421e-23	PH 1	Cpsf6
2.32829103465231e-27	0.596036387972649	0.415	0.167	3.88149398386886e-23	PH 1	SMC2
7.06283717986918e-27	0.462660567693172	0.899	0.848	1.17744558625599e-22	PH 1	Vap33
7.30453776488498e-27	0.505270581610294	0.295	0.079	1.21773949078398e-22	PH 1	CG4022
9.11946101486396e-27	0.457395080831312	0.275	0.063	1.52030534578797e-22	PH 1	cdi
4.15499562914971e-26	0.585513673290692	0.42	0.202	6.92679321335548e-22	PH 1	XNP
4.59060936665602e-26	0.467371274903306	0.324	0.098	7.65300487515225e-22	PH 1	jar
7.68383857834326e-26	0.515211908544723	0.357	0.129	1.28097272939561e-21	PH 1	e(y)3
8.54389506953264e-26	0.546875807154975	0.681	0.555	1.42435274704179e-21	PH 1	CG11486
2.2011483932583e-25	0.484179589187515	0.28	0.082	3.66953448640091e-21	PH 1	Src64B
2.30624233547348e-25	0.546296875967758	0.43	0.397	3.84473659746785e-21	PH 1	aop
2.92147401905611e-25	0.56109814350812	0.517	0.315	4.87038933716844e-21	PH 1	x16
3.24657838684955e-25	0.539278446654382	0.357	0.138	5.41237082871689e-21	PH 1	FoxK
3.60959358862176e-25	0.53454476295774	0.43	0.211	6.01755347159134e-21	PH 1	beta-Spec
5.38786545979425e-25	0.496439887972442	0.696	0.613	8.98211050802299e-21	PH 1	lwr
7.41820603159599e-25	0.526831303154112	0.329	0.143	1.23668912752737e-20	PH 1	flfl
2.52708541407957e-24	0.457348831580823	0.763	0.708	4.21290409381206e-20	PH 1	B52
3.04713975795228e-24	0.537235290645548	0.43	0.186	5.07988669048225e-20	PH 1	Pitslre
3.93987640775608e-24	0.686447723613457	0.449	0.421	6.56816795937017e-20	PH 1	mei-P26
5.98987218995987e-24	0.567943913995004	0.623	0.458	9.9857159278821e-20	PH 1	emb
5.99688416990638e-24	0.535789970380852	0.261	0.068	9.99740559965093e-20	PH 1	dap
1.09687283131335e-23	0.5248126818241	0.57	0.423	1.82859669708249e-19	PH 1	Fip1
1.28637420997071e-23	0.516363800243278	0.304	0.132	2.14451444544217e-19	PH 1	scrib
1.57080959386543e-23	0.537793248429421	0.44	0.201	2.61869667393306e-19	PH 1	Sin3A
1.91963738357115e-23	0.454076138917299	0.357	0.135	3.20022748215147e-19	PH 1	CG17272
2.26872522684915e-23	0.488536604292566	0.536	0.455	3.78219182568023e-19	PH 1	Capr
2.73090088417506e-23	0.523281431974532	0.604	0.447	4.55268486400825e-19	PH 1	Top1
2.87761168031248e-23	0.547955391147005	0.271	0.117	4.79726643224893e-19	PH 1	Drat
4.01874041871571e-23	0.508688009651914	0.295	0.118	6.69964215204095e-19	PH 1	Dad
4.60613326635988e-23	0.519997232141638	0.401	0.185	7.67888476834856e-19	PH 1	woc
6.18008504786725e-23	0.482475869836294	0.536	0.414	1.03028197832995e-18	PH 1	Sf3b2
8.09228387874208e-23	0.534221405449757	0.324	0.111	1.34906464542509e-18	PH 1	Evi5
8.16761359772194e-23	0.447845430739665	0.333	0.111	1.36162286287622e-18	PH 1	Cont
1.21471043426464e-22	0.549405904472721	0.43	0.219	2.02504376496259e-18	PH 1	CG1677
1.78999231829061e-22	0.549256996168666	0.396	0.186	2.98409619382227e-18	PH 1	dikar
1.90194449513453e-22	0.511771375620961	0.565	0.445	3.17073166783878e-18	PH 1	SRPK
2.4499188588951e-22	0.523865185459899	0.377	0.184	4.08425972966402e-18	PH 1	CG11873
3.23322306687329e-22	0.501093232266773	0.261	0.083	5.39010617478446e-18	PH 1	Spn
3.69794178913226e-22	0.490654744723232	0.493	0.318	6.16483875666239e-18	PH 1	arm
4.55254209208782e-22	0.480220190207806	0.29	0.121	7.5895429217196e-18	PH 1	CoRest
5.14881318682949e-22	0.537518446734552	0.391	0.192	8.58358646376344e-18	PH 1	CycA
8.62233793829092e-22	0.503425807396807	0.541	0.347	1.43742995769248e-17	PH 1	Usp7
1.61354636439994e-21	0.515547688917225	0.493	0.288	2.68994314409114e-17	PH 1	Bap55
1.91720806968579e-21	0.526338131369651	0.391	0.214	3.19617757297317e-17	PH 1	snama
1.96199277104644e-21	0.492616608196385	0.444	0.283	3.27083814861152e-17	PH 1	HDAC1
1.9724520544508e-21	0.530626566681153	0.415	0.249	3.28827481997493e-17	PH 1	Nup153
2.20374047161146e-21	0.536620094859657	0.449	0.269	3.67385574022346e-17	PH 1	Ncoa6
2.38347655747509e-21	0.459597848582252	0.469	0.326	3.97349376896673e-17	PH 1	wcy
2.38399537495076e-21	0.469329729366768	0.512	0.401	3.97435868958042e-17	PH 1	me31B
2.54549181804331e-21	0.51870124065491	0.348	0.145	4.24358940986e-17	PH 1	PR-Set7
2.67595051139449e-21	0.498748589582006	0.362	0.206	4.46107709754575e-17	PH 1	hfp
2.77430383843367e-21	0.507241100803859	0.594	0.488	4.62504192905277e-17	PH 1	MED26
4.14782587473003e-21	0.442808276789775	0.594	0.461	6.91484051576244e-17	PH 1	SmD1
5.08470903975723e-21	0.476412081606992	0.362	0.191	8.47671844017929e-17	PH 1	RpII215
5.2909332906044e-21	0.511866190260472	0.396	0.191	8.82051488876659e-17	PH 1	twin
5.3453679114182e-21	0.411201065693794	0.271	0.076	8.91126284512528e-17	PH 1	Mtl
7.37802893048711e-21	0.414816924101111	0.251	0.076	1.22999120300151e-16	PH 1	CG17233
9.48388152992949e-21	0.502694094543146	0.633	0.525	1.58105788985455e-16	PH 1	Ars2
1.26460089409329e-20	0.53461382517528	0.493	0.301	2.10821615054293e-16	PH 1	dom
1.28619622227848e-20	0.394541048129079	0.251	0.065	2.14421772216046e-16	PH 1	jumu
1.31345893929771e-20	0.440756962697915	0.295	0.125	2.18966739770321e-16	PH 1	pch2
1.7366502537943e-20	0.492634216255667	0.401	0.175	2.89516963810048e-16	PH 1	polo
2.51191062927224e-20	0.5048920081782	0.478	0.286	4.18760621005976e-16	PH 1	Rrp1
2.56558743604615e-20	0.437993467375211	0.3	0.12	4.27709081463254e-16	PH 1	Paf-AHalpha
4.39406390578195e-20	0.504613974932218	0.57	0.367	7.32534393732908e-16	PH 1	CG2926
6.60206731210482e-20	0.496175924905013	0.657	0.584	1.100630641601e-15	PH 1	Ndf
7.66430237595414e-20	0.548518953691058	0.256	0.103	1.27771584909531e-15	PH 1	Ptp99A
7.82758762066382e-20	0.452446550289503	0.367	0.166	1.30493713224086e-15	PH 1	SRm160
1.0061242674387e-19	0.4494369538927	0.498	0.397	1.67730976624706e-15	PH 1	CG42245
1.41333030395645e-19	0.468957108265173	0.406	0.305	2.3561629497258e-15	PH 1	ZAP3
1.5412800204974e-19	0.468453924013313	0.42	0.252	2.56946792217121e-15	PH 1	Nipped-A
1.61495060371543e-19	0.444922476483382	0.372	0.135	2.692284151454e-15	PH 1	Cks30A
1.87571462637063e-19	0.444517957951503	0.3	0.12	3.12700385362248e-15	PH 1	tmod
2.0660809614937e-19	0.458713382206556	0.58	0.474	3.44436357090615e-15	PH 1	Uch-L5
2.13401713834972e-19	0.447461445865024	0.319	0.103	3.55761997134282e-15	PH 1	CycB
2.44534029572409e-19	0.503563265681805	0.44	0.209	4.07662680700163e-15	PH 1	Caf1-180
3.74712033164765e-19	0.350218239874981	0.256	0.059	6.24682430488979e-15	PH 1	CG6959
4.16829032229508e-19	0.473847487579208	0.319	0.106	6.94895679629812e-15	PH 1	pav
6.84853376295181e-19	0.525964129685383	0.382	0.238	1.1417190636217e-14	PH 1	tara
9.95942007741269e-19	0.416455379527157	0.565	0.507	1.66033492110547e-14	PH 1	Rpn2
1.50970664173901e-18	0.430929846313516	0.348	0.145	2.51683194244311e-14	PH 1	ball
1.57845287490856e-18	0.498830224068681	0.425	0.223	2.63143878776005e-14	PH 1	CG9425
4.11434344893783e-18	0.459818287575129	0.372	0.178	6.85902196372425e-14	PH 1	fl(2)d
5.7659263673286e-18	0.488055142141914	0.338	0.186	9.6123758469735e-14	PH 1	Snoo
6.54787107620995e-18	0.323276870482031	0.754	0.765	1.09159558711496e-13	PH 1	SF2
9.0321529663006e-18	0.434804377141677	0.3	0.173	1.50575022101197e-13	PH 1	CG3638
1.26317246889019e-17	0.470684709499019	0.425	0.289	2.10583482288683e-13	PH 1	Sf3b5
1.42227402439356e-17	0.353372807232516	0.251	0.078	2.37107302606651e-13	PH 1	tun
1.4586400046628e-17	0.700473555261544	0.662	0.672	2.43169875177335e-13	PH 1	Atpalpha
2.06681986293966e-17	0.420719510772271	0.372	0.316	3.4455953935067e-13	PH 1	pan
2.85680799632277e-17	0.353983423312927	0.696	0.675	4.76258461066968e-13	PH 1	SNRPG
4.90477907679588e-17	0.45777410111655	0.319	0.148	8.17675719892641e-13	PH 1	Spindly
5.02709102939967e-17	0.400569933842874	0.271	0.086	8.38066345511219e-13	PH 1	Klp61F
5.16297166258934e-17	0.437032929424474	0.449	0.301	8.60719005870269e-13	PH 1	Rcd-1
5.63252079013733e-17	0.421012647247615	0.599	0.468	9.38997540923794e-13	PH 1	Aos1
5.87561848369511e-17	0.329785054928558	0.266	0.075	9.79524357416813e-13	PH 1	Cdk2
8.88166728009802e-17	0.402468999517254	0.473	0.359	1.48066275226514e-12	PH 1	SelD
1.02430359148643e-16	0.438260013433926	0.357	0.164	1.70761651736702e-12	PH 1	Incenp
1.08819071670585e-16	0.433151099079519	0.42	0.264	1.81412274382033e-12	PH 1	exd
1.2252083965215e-16	0.437238364670321	0.391	0.274	2.04254491784099e-12	PH 1	snRNP-U1-70K
1.24287609703562e-16	0.437358856776137	0.377	0.25	2.07199874136808e-12	PH 1	simj
1.54448834932414e-16	0.395391935189034	0.28	0.084	2.57481652715827e-12	PH 1	Mkp3
1.64166240178478e-16	0.44025457416767	0.333	0.177	2.73681539001541e-12	PH 1	CG10600
1.70233646672563e-16	0.434525440212772	0.473	0.353	2.8379651236783e-12	PH 1	Hcf
2.2613830051455e-16	0.384480804126845	0.754	0.72	3.76995160787806e-12	PH 1	CkIIbeta
2.58217471584918e-16	0.425594094771873	0.343	0.136	4.30474346879218e-12	PH 1	Mink
2.94583478659672e-16	0.359254116034642	0.517	0.452	4.91100117273539e-12	PH 1	wap
3.44955988984948e-16	0.440656290991201	0.444	0.279	5.75076129236807e-12	PH 1	CG1142
3.58209260173144e-16	0.415904991754282	0.536	0.467	5.97170657634648e-12	PH 1	Caf1-55
4.19430002186068e-16	0.437896339502118	0.319	0.16	6.99231756644394e-12	PH 1	brm
5.51455711557465e-16	0.422982719116967	0.372	0.194	9.1933181673745e-12	PH 1	Nup358
7.49693109822501e-16	0.435465614511999	0.454	0.314	1.24981338338509e-11	PH 1	Taf4
1.13967467563493e-15	0.36618662373617	0.256	0.077	1.899951651751e-11	PH 1	sti
1.22284355671045e-15	0.411102133948716	0.3	0.19	2.03860249339199e-11	PH 1	Ythdc1
1.25246293033118e-15	0.47673433445307	0.324	0.179	2.08798095115512e-11	PH 1	Snr1
1.58841217129584e-15	0.369003669971779	0.256	0.137	2.64804193076729e-11	PH 1	Gnpnat
1.69858555902184e-15	0.383288546243852	0.285	0.097	2.83171198544531e-11	PH 1	Rgl
1.78430781023389e-15	0.387965602438508	0.271	0.133	2.97461955044091e-11	PH 1	Actn
1.80843142973405e-15	0.373726108151797	0.377	0.307	3.01483603650963e-11	PH 1	Xe7
