FlyGeneID	ZebrafishGeneID	MouseGeneID	HumanSymbol
Arp6	actr6	Actr6	ACTR6
Arp8	actr8	Actr8	ACTR8
Arpc1	arpc1a	Arpc1a	ARPC1A
Arpc2	arpc2	Arpc2	ARPC2
Arpc4	arpc4	Arpc4	ARPC4
Ars2	srrt	Srrt	SRRT
Art1	prmt1	Prmt1	PRMT1
Art3	prmt3	Prmt3	PRMT3
Art4	carm1	Carm1	CARM1
Art7	prmt7	Prmt7	PRMT7
Art8	prmt6	Prmt6	PRMT6
Arv1	arv1	Arv1	ARV1
Asap	asap1b	Asap1	ASAP1
Asciz	atmin	Atmin	ATMIN
Ask1	map3k5	Map3k5	MAP3K5
AsnRS	nars	Nars	NARS
AsnRS-m	nars2	Nars2	NARS2
AsnS	asns	Asns	ASNS
AspRS	dars	Dars	DARS
AspRS-m	dars2	Dars2	DARS2
Ass	ass1	Ass1	ASS1
Asx	asxl2	Asxl2	ASXL2
Atac1	zzz3	Zzz3	ZZZ3
Atf6	atf6	Atf6	ATF6
Atg1	ulk1b	Ulk1	ULK1
Atg10	atg10	Atg10	ATG10
Atg12	atg12	Atg12	ATG12
Atg13	atg13	Atg13	ATG13
Atg16	atg16l1	Atg16l1	ATG16L1
Atg3	atg3	Atg3	ATG3
Atg4a	atg4b	Atg4b	ATG4B
Atg4b	atg4c	Atg4c	ATG4C
Atg5	atg5	Atg5	ATG5
Atg6	becn1	Becn1	BECN1
Atg7	atg7	Atg7	ATG7
Atg8a	gabarapb	Gabarap	GABARAP
Atg9	atg9a	Atg9a	ATG9A
Atox1	atox1	Atox1	ATOX1
Atpalpha	atp1a3a	Atp1a3	ATP1A3
Atx2	atxn2l	Atxn2l	ATXN2L
Aven	aven	Aven	AVEN
Axs	ano10a	Ano10	ANO10
B52	srsf4	Srsf4	SRSF4
B9d1	b9d1	B9d1	B9D1
B9d2	b9d2	B9d2	B9D2
BBS1	bbs1	Bbs1	BBS1
BBS4	bbs4	Bbs4	BBS4
BBS5	bbs5	Bbs5	BBS5
BBS8	ttc8	Ttc8	TTC8
BBS9	bbs9	Bbs9	BBS9
BCAS2	bcas2	Bcas2	BCAS2
BCL7-like	bcl7a	Bcl7a	BCL7A
BHD	flcn	Flcn	FLCN
BI-1	tegt	Tmbim6	TMBIM6
BOD1	bod1	Bod1	BOD1
BTBD9	btbd9	Btbd9	BTBD9
Baldspot	elovl6	Elovl6	ELOVL6
Bap111	smarce1	Smarce1	SMARCE1
Bap170	arid2	Arid2	ARID2
Bap60	smarcd1	Smarcd1	SMARCD1
Bem46	abhd13	Abhd13	ABHD13
Bet1	bet1	Bet1	BET1
Bet3	trappc3	Trappc3	TRAPPC3
Bet5	trappc1	Trappc1	TRAPPC1
BicD	bicd1a	Bicd1	BICD1
Bili	frmd8	Frmd8	FRMD8
Bin1	sap18	Sap18	SAP18
Bka	fcf1	Fcf1	FCF1
Blimp-1	prdm1a	Prdm1	PRDM1
Blm	blm	Blm	BLM
Blos1	bloc1s1	Bloc1s1	BLOC1S1
Blos2	bloc1s2	Bloc1s2	BLOC1S2
Blos3	bloc1s3	Bloc1s3	BLOC1S3
Bmcp	slc25a14	Slc25a14	SLC25A14
Br140	brd1a	Brd1	BRD1
Brca2	brca2	Brca2	BRCA2
Brd8	brd8	Brd8	BRD8
Bre1	rnf20	Rnf20	RNF20
Brms1	brms1la	Brms1l	BRMS1L
Bruce	birc6	Birc6	BIRC6
Bsg25D	nin	Nin	NIN
Bub3	bub3	Bub3	BUB3
Bx42	snw1	Snw1	SNW1
C3G	rapgef1b	Rapgef1	RAPGEF1
CAH1	cahz	Car2	CA2
CAP	sorbs3	Sorbs3	SORBS3
CASK	caska	Cask	CASK
CCT1	tcp1	Tcp1	TCP1
CCT3	cct3	Cct3	CCT3
CCT4	cct4	Cct4	CCT4
CCT5	cct5	Cct5	CCT5
CCT6	cct6a	Cct6a	CCT6A
CCT7	cct7	Cct7	CCT7
CCT8	cct8	Cct8	CCT8
CDC45L	cdc45	Cdc45	CDC45
CDase	asah2	Asah2	ASAH2
CG10026	ttpa	Ttpa	TTPA
CG10038	fam172a	Fam172a	FAM172A
CG10050	dtwd2	Dtwd2	DTWD2
CG10055	shq1	Shq1	SHQ1
CG10068	elmod2	Elmod2	ELMOD2
CG10082	ip6k1	Ip6k1	IP6K1
CG10089	dusp22b	Dusp22	DUSP22
CG10098	scrn3	Scrn3	SCRN3
CG10166	dpm1	Dpm1	DPM1
CG10188	arhgef18b	Arhgef18	ARHGEF18
CG10189	ctu2	Ctu2	CTU2
CG10209	naif1	Naif1	NAIF1
CG10214	smfn	Rexo2	REXO2
CG10222	gpn2	Gpn2	GPN2
CG10257	faima	Faim	FAIM
CG10268	pmvk	Pmvk	PMVK
CG10286	heatr3	Heatr3	HEATR3
CG10324	gpkow	Gpkow	GPKOW
CG10333	ddx23	Ddx23	DDX23
CG10336	tipin	Tipin	TIPIN
CG10340	atpaf1	Atpaf1	ATPAF1
CG10341	naf1	Naf1	NAF1
CG10343	rwdd	Rwdd4a	RWDD4
CG10347	nudcd1	Nudcd1	NUDCD1
CG10348	mecom	Mecom	MECOM
CG10361	gcat	Gcat	GCAT
CG10362	pdzd8	Pdzd8	PDZD8
CG10365	chac1	Chac1	CHAC1
CG10375	dnajc8	Dnajc8	DNAJC8
CG10376	ppm1f	Ppm1f	PPM1F
CG10395	ino80b	Ino80b	INO80B
CG10413	slc12a9	Slc12a9	SLC12A9
CG10417	ppm1g	Ppm1g	PPM1G
CG10418	smx5	Lsm2	LSM2
CG10425	kdsr	Kdsr	KDSR
CG10428	gstcd	Gstcd	GSTCD
CG10431	thap1	Thap1	THAP1
CG10435	ubap1	Ubap1	UBAP1
CG10463	dus3l	Dus3l	DUS3L
CG10465	kctd10	Kctd10	KCTD10
CG10466	rbmx2	Rbmx2	RBMX2
CG10470	tmco1	Tmco1	TMCO1
CG10495	dus4l	Dus4l	DUS4L
CG10516	spsb3a	Spsb3	SPSB3
CG10565	dnajc2	Dnajc2	DNAJC2
CG10576	pa2g4b	Pa2g4	PA2G4
CG10581	ntpcr	Ntpcr	NTPCR
CG10584	mettl22	Mettl22	METTL22
CG10602	lta4h	Lta4h	LTA4H
CG10628	gtpbp10	Gtpbp10	GTPBP10
CG1074	trmt11	Trmt11	TRMT11
CG10778	dhdds	Dhdds	DHDDS
CG10795	tm2d1	Tm2d1	TM2D1
CG10802	aarsd1	Aarsd1	AARSD1
CG10874	ccdc28b	Ccdc28b	CCDC28B
CG10898	nudt18	Nudt18	NUDT18
CG10907	cwc27	Cwc27	CWC27
CG10914	noa1	Noa1	NOA1
CG10915	cttnbp2nlb	Cttnbp2nl	CTTNBP2NL
CG10927	adat3	Adat3	ADAT3
CG10932	acat1	Acat1	ACAT1
CG10948	enox2	Enox2	ENOX2
CG10973	hspbp1	Hspbp1	HSPBP1
CG10984	ankrd12	Ankrd12	ANKRD12
CG11007	tmx2b	Tmx2	TMX2
CG11030	ngdn	Ngdn	NGDN
CG11035	dnajc30b	Dnajc30	DNAJC30
CG11050	hddc2	Hddc2	HDDC2
CG11070	ube4a	Ube4a	UBE4A
CG11077	mpv17	Mpv17	MPV17
CG11089	atic	Atic	ATIC
CG11095	nudt8	Nudt8	NUDT8
CG11099	lrrc28	Lrrc28	LRRC28
CG11103	tm2d2	Tm2d2	TM2D2
CG11109	nsun6	Nsun6	NSUN6
CG11110	immp2l	Immp2l	IMMP2L
CG11134	apip	Apip	APIP
CG11141	tecpr2	Tecpr2	TECPR2
CG1116	rgp1	Rgp1	RGP1
CG11164	rnaseh2b	Rnaseh2b	RNASEH2B
CG11178	avl9	Avl9	AVL9
CG11180	pinx1	Pinx1	PINX1
CG11257	cyb5r4	Cyb5r4	CYB5R4
CG1129	gmppb	Gmppb	GMPPB
CG11334	mri1	Mri1	MRI1
CG11342	bcdin3d	Bcdin3d	BCDIN3D
CG11360	mex3b	Mex3b	MEX3B
CG11367	tmem64	Tmem64	TMEM64
CG11377	creld2	Creld2	CRELD2
CG11399	pcif1	Pcif1	PCIF1
CG11403	ddx11	Ddx11	DDX11
CG11414	znf598	Zfp598	ZNF598
CG11417	esf1	Esf1	ESF1
CG1142	dnttip2	Dnttip2	DNTTIP2
CG11454	rbm7	Rbm7	RBM7
CG11486	pan3	Pan3	PAN3
CG11534	def8	Def8	DEF8
CG11539	nat9	Nat9	NAT9
CG11563	nop16	Nop16	NOP16
CG11583	bxdc2	Brix1	BRIX1
CG11586	zmat2	Zmat2	ZMAT2
CG11594	fggy	Fggy	FGGY
CG11658	fbxo25	Fbxo25	FBXO25
CG11679	rmnd1	Rmnd1	RMND1
CG11696	znf865	Zfp865	ZNF865
CG11700	ubb	Ubb	UBB
CG11710	trip4	Trip4	TRIP4
CG11722	ndufaf4	Ndufaf4	NDUFAF4
CG11753	sys1	Sys1	SYS1
CG11771	thop1	Thop1	THOP1
CG11777	ppil3	Ppil3	PPIL3
CG11779	timm44	Timm44	TIMM44
CG11788	dscc1	Dscc1	DSCC1
CG11807	nisch	Nisch	NISCH
CG11808	rsrc1	Rsrc1	RSRC1
CG11811	guk1a	Guk1	GUK1
CG11837	dimt1l	Dimt1	DIMT1
CG11857	rer1	Rer1	RER1
CG11858	pin4	Pin4	PIN4
CG11885	psmg3	Psmg3	PSMG3
CG11899	psat1	Psat1	PSAT1
CG11902	znf142	Zfp142	ZNF142
CG11920	imp4	Imp4	IMP4
CG11964	ctnnbl1	Ctnnbl1	CTNNBL1
CG11970	nfrkb	Nfrkb	NFRKB
CG11980	myg1	Myg1	C12orf10
CG11999	sdf2l1	Sdf2l1	SDF2L1
CG12004	tmem184ba	Tmem184b	TMEM184B
CG12007	rabggta	Rabggta	RABGGTA
CG12010	spata5l1	Spata5l1	SPATA5L1
CG12012	bri3	Bri3	BRI3
CG12018	pold2	Pold2	POLD2
CG12020	dnajb13	Dnajb13	DNAJB13
CG12024	cuedc1b	Cuedc1	CUEDC1
CG12025	tmem134	Tmem134	TMEM134
CG12054	jazf1a	Jazf1	JAZF1
CG12056	cyb5d2	Cyb5d2	CYB5D2
CG12081	klhdc3	Klhdc3	KLHDC3
CG12084	zer1	Zer1	ZER1
CG12096	psmd5	Psmd5	PSMD5
CG12099	rnf10	Rnf10	RNF10
CG12106	commd3	Commd3	COMMD3
CG12121	gpr107	Gpr107	GPR107
CG12129	ascc1	Ascc1	ASCC1
CG12134	wdr89	Wdr89	WDR89
CG12163	ctsf	Ctsf	CTSF
CG12173	enoph1	Enoph1	ENOPH1
CG12194	mfsd1	Mfsd1	MFSD1
CG12237	phospho2	Phospho2	PHOSPHO2
CG12241	sgsm3	Sgsm3	SGSM3
CG12253	harbi1	Harbi1	HARBI1
CG12259	fam50a	Fam50a	FAM50A
CG12267	polr3c	Polr3c	POLR3C
CG12268	far1	Far1	FAR1
CG1227	stk16	Stk16	STK16
CG12288	rbm34	Rbm34	RBM34
CG12321	psmg2	Psmg2	PSMG2
CG12333	wdr37	Wdr37	WDR37
CG1234	noc3l	Noc3l	NOC3L
CG12343	syf2	Syf2	SYF2
CG12384	dap	Dap	DAP
CG12499	urb1	Urb1	URB1
CG12547	nhlrc2	Nhlrc2	NHLRC2
CG12659	ino80c	Ino80c	INO80C
CG1271	gk5	Gk5	GK5
CG12795	zfand2a	Zfand2b	ZFAND2B
CG12818	leng1	Leng1	LENG1
CG12848	chchd1	Chchd1	CHCHD1
CG12863	zcchc4	Zcchc4	ZCCHC4
CG12909	lyar	Lyar	LYAR
CG12975	trmt112	Trmt112	TRMT112
CG13001	zc4h2	Zc4h2	ZC4H2
CG13016	tmem39a	Tmem39a	TMEM39A
CG13074	wdr34	Wdr34	WDR34
CG1309	abhd16a	Abhd16a	ABHD16A
CG13096	rsl1d1	Rsl1d1	RSL1D1
CG13097	mphosph10	Mphosph10	MPHOSPH10
CG13126	mettl17	Mettl17	METTL17
CG1316	rbm45	Rbm45	RBM45
CG13185	mdn1	Mdn1	MDN1
CG13192	gnb1l	Gnb1l	GNB1L
CG13197	dusp11	Dusp11	DUSP11
CG13248	slc7a4	Slc7a4	SLC7A4
CG13293	scai	Scai	SCAI
CG13326	armc3	Armc3	ARMC3
CG13344	rnf25	Rnf25	RNF25
CG13366	specc1la	Specc1l	SPECC1L
CG13367	gatad1	Gatad1	GATAD1
CG13392	tmem126a	Tmem126a	TMEM126A
CG13397	naglu	Naglu	NAGLU
CG13409	tmem181	Tmem181a	TMEM181
CG1344	scyl3	Scyl3	SCYL3
CG13531	spg11	Spg11	SPG11
CG1354	ola1	Ola1	OLA1
CG13604	ubash3ba	Ubash3b	UBASH3B
CG13623	isca2	Isca2	ISCA2
CG13630	metap1	Metap1	METAP1
CG13667	ndor1	Ndor1	NDOR1
CG13671	txndc11	Txndc11	TXNDC11
CG13690	rnaseh2a	Rnaseh2a	RNASEH2A
CG13692	arl16	Arl16	ARL16
CG1371	nomo	Nomo1	NOMO1
CG13773	twistnb	Twistnb	TWISTNB
CG13775	zbed4	Zbed4	ZBED4
CG13850	tbrg4	Tbrg4	TBRG4
CG13887	bcap29	Bcap29	BCAP29
CG13919	tmem60	Tmem60	TMEM60
CG13999	tmem138	Tmem138	TMEM138
CG14020	tmem231	Tmem231	TMEM231
CG14057	pop5	Pop5	POP5
CG1407	zdhhc20a	Zdhhc20	ZDHHC20
CG14073	bcor	Bcor	BCOR
CG14104	swi5	Swi5	SWI5
CG14105	ttc36	Ttc36	TTC36
CG14130	alkbh7	Alkbh7	ALKBH7
CG1416	ahsa1a	Ahsa1	AHSA1
CG1418	rabac1	Rabac1	RABAC1
CG14220	suds3	Suds3	SUDS3
CG14230	nol8	Nol8	NOL8
CG14231	osgepl1	Osgepl1	OSGEPL1
CG14232	acbd3	Acbd3	ACBD3
CG1427	sepsecs	Sepsecs	SEPSECS
CG14291	sgsh	Sgsh	SGSH
CG14322	znf106a	Zfp106	ZNF106
CG14341	mea1	Mea1	MEA1
CG14407	glrx5	Glrx5	GLRX5
CG14411	mtmr10	Mtmr10	MTMR10
CG14414	rbm18	Rbm18	RBM18
CG14435	znrf1	Znrf1	ZNRF1
CG14480	fam192a	Fam192a	FAM192A
CG14543	tsr2	Tsr2	TSR2
CG14544	trmt61a	Trmt61a	TRMT61A
CG14562	hps3	Hps3	HPS3
CG14621	slc35e1	Slc35e1	SLC35E1
CG14641	rbm22	Rbm22	RBM22
CG14646	tmem129	Tmem129	TMEM129
CG14647	kctd9a	Kctd9	KCTD9
CG14650	dnajc14	Dnajc14	DNAJC14
CG14687	spa17	Spa17	SPA17
CG14701	dph3	Dph3	DPH3
CG14715	fkbp2	Fkbp2	FKBP2
CG14721	tpk1	Tpk1	TPK1
CG14722	wdr55	Wdr55	WDR55
CG14767	laptm4a	Laptm4a	LAPTM4A
CG14787	cdyl	Cdyl	CDYL
CG14803	mms22l	Mms22l	MMS22L
CG14805	wdr18	Wdr18	WDR18
CG1486	pdxdc1	Pdxdc1	PDXDC1
CG14881	armc7	Armc7	ARMC7
CG14882	mtrr	Mtrr	MTRR
CG14883	gde1	Gde1	GDE1
CG14894	ttc1	Ttc1	TTC1
CG14969	ostm1	Ostm1	OSTM1
CG14971	slc35c2	Slc35c2	SLC35C2
CG14982	fam110b	Fam110b	FAM110B
CG15011	nfxl1	Nfxl1	NFXL1
CG15012	tmem50a	Tmem50a	TMEM50A
CG15014	thumpd1	Thumpd1	THUMPD1
CG15019	llph	Llph	LLPH
CG15084	ccdc130	Ccdc130	CCDC130
CG15093	hibadha	Hibadh	HIBADH
CG15111	abhd12	Abhd12	ABHD12
CG15118	ankrd13d	Ankrd13d	ANKRD13D
CG1513	osbpl9	Osbpl9	OSBPL9
CG15130	tmie	Tmie	TMIE
CG15141	ubr7	Ubr7	UBR7
CG15168	mmgt1	Mmgt1	MMGT1
CG15211	cmtm4	Cmtm4	CMTM4
CG1523	wdr32	Dcaf10	DCAF10
CG15270	ano8b	Ano8	ANO8
CG1532	glod4	Glod4	GLOD4
CG15387	grcc10	Grcc10	C12orf57
CG1542	ebna1bp2	Ebna1bp2	EBNA1BP2
CG15429	cyb5d1	Cyb5d1	CYB5D1
CG15432	fam32a	Fam32a	FAM32A
CG15439	phf14	Phf14	PHF14
CG15440	trnau1apb	Trnau1ap	TRNAU1AP
CG15443	tmco6	Tmco6	TMCO6
CG15525	ccdc12	Ccdc12	CCDC12
CG15526	rpp14	Rpp14	RPP14
CG15535	ccdc59	Ccdc59	CCDC59
CG15537	crhbp	Crhbp	CRHBP
CG15543	ak8	Ak8	AK8
CG15561	gpatch4	Gpatch4	GPATCH4
CG15602	zfyve19	Zfyve19	ZFYVE19
CG15651	fkrp	Fkrp	FKRP
CG15743	impad1	Impad1	IMPAD1
CG1575	tex10	Tex10	TEX10
CG15771	nanp	Nanp	NANP
CG15814	rnf121	Rnf121	RNF121
CG1582	dhx57	Dhx57	DHX57
CG15822	sestd1	Sestd1	SESTD1
CG15914	gtdc1	Gtdc1	GTDC1
CG15916	rbfa	Rbfa	RBFA
CG15923	tmem67	Tmem67	TMEM67
CG1607	slc7a6	Slc7a6	SLC7A6
CG1622	prpf38b	Prpf38b	PRPF38B
CG1628	slc25a15b	Slc25a15	SLC25A15
CG1640	gpt2l	Gpt	GPT
CG1646	prpf39	Prpf39	PRPF39
CG1671	tbl3	Tbl3	TBL3
CG16721	tcp11l1	Tcp11l1	TCP11L1
CG1673	bcat1	Bcat1	BCAT1
CG16758	pnp5a	Pnp	PNP
CG16868	cachd1	Cachd1	CACHD1
CG16908	tti1	Tti1	TTI1
CG16935	mecr	Mecr	MECR
CG16952	btbd7	Btbd7	BTBD7
CG16979	ufsp2	Ufsp2	UFSP2
CG16984	enkur	Enkur	ENKUR
CG16989	heatr6	Heatr6	HEATR6
CG17002	gps2	Gps2	GPS2
CG17019	rffl	Rffl	RFFL
CG1703	abcf1	Abcf1	ABCF1
CG17036	slc19a2	Slc19a2	SLC19A2
CG17065	amdhd2	Amdhd2	AMDHD2
CG17068	btbd2a	Btbd2	BTBD2
CG17098	znf346	Zfp346	ZNF346
CG17119	ctns	Ctns	CTNS
CG17124	ppp1r14bb	Ppp1r14b	PPP1R14B
CG17141	mtg1	Mtg1	MTG1
CG17168	snip1	Snip1	SNIP1
CG17187	dnajc17	Dnajc17	DNAJC17
CG17202	mycbp	Mycbp	MYCBP
CG17221	rtn4ip1	Rtn4ip1	RTN4IP1
CG17230	tchp	Tchp	TCHP
CG17249	prcc	Prcc	PRCC
CG17266	ppih	Ppih	PPIH
CG17272	calml4a	Calml4	CALML4
CG17287	zdhhc15b	Zdhhc15	ZDHHC15
CG17294	hdhd2	Hdhd2	HDHD2
CG17333	pgls	Pgls	PGLS
CG17454	smndc1	Smndc1	SMNDC1
CG17486	asnsd1	Asnsd1	ASNSD1
CG1750	mtfmt	Mtfmt	MTFMT
CG17528	dclk2a	Dclk2	DCLK2
CG17565	fntb	Fntb	FNTB
CG17593	ccdc47	Ccdc47	CCDC47
CG17598	ppm1h	Ppm1h	PPM1H
CG17625	sash1a	Sash1	SASH1
CG1764	ddah2	Ddah2	DDAH2
CG17652	utp23	Utp23	UTP23
CG17691	bckdhb	Bckdhb	BCKDHB
CG17698	camkk1a	Camkk1	CAMKK1
CG17715	tmem65	Tmem65	TMEM65
CG17754	klhl5	Klhl5	KLHL5
CG17765	pef1	Pef1	PEF1
CG17768	lsm4	Lsm4	LSM4
CG17807	alkbh8	Alkbh8	ALKBH8
CG17883	tbc1d20	Tbc1d20	TBC1D20
CG17896	aldh6a1	Aldh6a1	ALDH6A1
CG17904	nubp1	Nubp1	NUBP1
CG17985	lysmd3	Lysmd3	LYSMD3
CG17996	cmc1	Cmc1	CMC1
CG18004	ino80e	Ino80e	INO80E
CG1812	klhl22	Klhl22	KLHL22
CG1814	nt5dc3	Nt5dc3	NT5DC3
CG1824	abcb8	Abcb8	ABCB8
CG18473	pter	Pter	PTER
CG18528	gtpbp3	Gtpbp3	GTPBP3
CG18600	polr1e	Polr1e	POLR1E
CG18815	lypla2	Lypla2	LYPLA2
CG1882	abhd4	Abhd4	ABHD4
CG1896	pdcd7	Pdcd7	PDCD7
CG1909	rapsn	Rapsn	RAPSN
CG1968	cog6	Cog6	COG6
CG2006	dtwd1	Dtwd1	DTWD1
CG2023	bnip1b	Bnip1	BNIP1
CG2046	psmg1	Psmg1	PSMG1
CG2061	lancl2	Lancl2	LANCL2
CG2063	sap30bp	Sap30bp	SAP30BP
CG2091	dcps	Dcps	DCPS
CG2100	trnt1	Trnt1	TRNT1
CG2126	jkamp	Jkamp	JKAMP
CG2145	endou	Endou	ENDOU
CG2182	ggnbp2	Ggnbp2	GGNBP2
CG2201	chkb	Chkb	CHKB
CG2218	ubox5	Ubox5	UBOX5
CG2224	stambpa	Stambp	STAMBP
CG2246	prpsap2	Prpsap2	PRPSAP2
CG2258	nckipsd	Nckipsd	NCKIPSD
CG2260	wdr46	Wdr46	WDR46
CG2277	nt5dc1	Nt5dc1	NT5DC1
CG2493	prcp	Prcp	PRCP
CG2540	chac2	Chac2	CHAC2
CG2608	spag7	Spag7	SPAG7
CG2616	slc25a40	Slc25a40	SLC25A40
CG2617	rnf26	Rnf26	RNF26
CG2656	gpn3	Gpn3	GPN3
CG2685	wbp11	Wbp11	WBP11
CG2691	rrp12	Rrp12	RRP12
CG2701	ascc2	Ascc2	ASCC2
CG2747	heatr5b	Heatr5b	HEATR5B
CG2790	dnajc21	Dnajc21	DNAJC21
CG2812	wdr47a	Wdr47	WDR47
CG2846	rfk	Rfk	RFK
CG2862	hint1	Hint1	HINT1
CG2875	noc4l	Noc4l	NOC4L
CG2906	rrnad1	Rrnad1	RRNAD1
CG2911	dnajc24	Dnajc24	DNAJC24
CG2918	hyou1	Hyou1	HYOU1
CG2926	phrf1	Phrf1	PHRF1
CG2938	casd1	Casd1	CASD1
CG2972	nob1	Nob1	NOB1
CG2990	dna2	Dna2	DNA2
CG30022	ethe1	Ethe1	ETHE1
CG3008	riok3	Riok3	RIOK3
CG30105	rnaseh2c	Rnaseh2c	RNASEH2C
CG30157	ufsp1	Ufsp1	UFSP1
CG30159	c18h3orf33	E130311K13Rik	C3orf33
CG3021	trmu	Trmu	TRMU
CG30291	cdk5rap3	Cdk5rap3	CDK5RAP3
CG30338	rwdd2b	Rwdd2b	RWDD2B
CG30349	wdr43	Wdr43	WDR43
CG30394	slc38a10	Slc38a10	SLC38A10
CG3040	lrrc57	Lrrc57	LRRC57
CG3045	pus3	Pus3	PUS3
CG30467	saal1	Saal1	SAAL1
CG30496	glmna	Glmn	GLMN
CG3061	dnajb12a	Dnajb12	DNAJB12
CG3071	utp15	Utp15	UTP15
CG3077	snx21	Snx21	SNX21
CG31007	chchd10	Chchd10	CHCHD10
CG3104	ankrd29	Ankrd29	ANKRD29
CG3107	pitrm1	Pitrm1	PITRM1
CG31111	tbrg1	Tbrg1	TBRG1
CG31126	bola1	Bola1	BOLA1
CG31156	srbd1	Srbd1	SRBD1
CG31224	zbtb44	Zbtb44	ZBTB44
CG31251	nudcd3	Nudcd3	NUDCD3
CG31301	nkrf	Nkrf	NKRF
CG31357	maea	Maea	MAEA
CG31368	aqr	Aqr	AQR
CG31381	trit1	Trit1	TRIT1
CG31460	krtcap2	Krtcap2	KRTCAP2
CG31475	sdf4	Sdf4	SDF4
CG3149	rft1	Rft1	RFT1
CG31523	elovl1b	Elovl1	ELOVL1
CG31550	sugp1	Sugp1	SUGP1
CG3156	abcb10	Abcb10	ABCB10
CG31635	ppp1r37	Ppp1r37	PPP1R37
CG31638	ccdc102a	Ccdc102a	CCDC102A
