FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	MouseGeneID	MGIID	MouseSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
Ahcy	32471	FBgn0014455	Ahcy	Mouse	11615	3643647	Gm4737	11	10.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Phylome, RoundUp, TreeFam
Ak6	36379	FBgn0033754	Ak6	Mouse	108143	1888697	Taf9	8	7.71	moderate	Yes	No	eggNOG, Hieranoid, OMA, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
Akt1	41957	FBgn0010379	Akt1	Mouse	11652	104874	Akt2	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlaRS	34156	FBgn0027094	AlaRS	Mouse	234734	2384560	Aars	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlaRS-m	38595	FBgn0028962	AlaRS-m	Mouse	224805	2681839	Aars2	8	7.71	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Alas	37815	FBgn0020764	Alas	Mouse	11656	87990	Alas2	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aldh	34256	FBgn0012036	Aldh	Mouse	11669	99600	Aldh2	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aldh-III	45398	FBgn0010548	Aldh-III	Mouse	67689	1914939	Aldh3b1	12	11.86	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aldh7A1	40097	FBgn0036857	Aldh7A1	Mouse	110695	108186	Aldh7a1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg-2	3355106	FBgn0086378	Alg-2	Mouse	18570	109283	Pdcd6	13	12.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, Phylome, RoundUp, TreeFam
Alg1	42146	FBgn0038552	Alg1	Mouse	208211	2384774	Alg1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg10	326193	FBgn0052076	Alg10	Mouse	380959	2146159	Alg10b	12	11.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Alg11	40402	FBgn0037108	Alg11	Mouse	207958	2142632	Alg11	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg14	32479	FBgn0030645	Alg14	Mouse	66789	1914039	Alg14	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg2	38374	FBgn0035401	Alg2	Mouse	56737	1914731	Alg2	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg3	37754	FBgn0011297	Alg3	Mouse	208624	1098592	Alg3	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg9	43031	FBgn0039293	Alg9	Mouse	102580	1924753	Alg9	13	12.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Alh	40850	FBgn0261238	Alh	Mouse	246198	1935145	Mllt6	8	7.93	high	Yes	Yes	eggNOG, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Alk	53425	FBgn0040505	Alk	Mouse	11682	103305	Alk	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlkB	2768870	FBgn0065035	AlkB	Mouse	211064	2384034	Alkbh1	11	10.88	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
Alr	32991	FBgn0031068	Alr	Mouse	11692	107757	Gfer	12	11.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Als2	40410	FBgn0037116	Als2	Mouse	74018	1921268	Als2	11	10.86	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Amacr	35337	FBgn0032881	Amacr	Mouse	17117	1098273	Amacr	12	11.69	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
Amnionless	33199	FBgn0025686	Amnionless	Mouse	93835	1934943	Amn	10	9.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Amph	36383	FBgn0027356	Amph	Mouse	30948	108092	Bin1	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Amt	41841	FBgn0038309	Amt	Mouse	56315	1888517	Rhcg	2	2.04	moderate	Yes	No	OrthoDB, RoundUp
Amyrel	36863	FBgn0020506	Amyrel	Mouse	11722	88019	Amy1	10	9.86	moderate	Yes	No	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
Ankle2	32732	FBgn0028343	Ankle2	Mouse	71782	1261856	Ankle2	9	8.88	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Antp	40835	FBgn0260642	Antp	Mouse	15415	96188	Hoxb7	10	9.85	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AnxB11	32612	FBgn0030749	AnxB11	Mouse	11750	88031	Anxa7	11	10.92	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
