FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	ZebrafishGeneID	ZFINID	ZebrafishSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
AMPdeam	32352	FBgn0052626	AMPdeam	Zebrafish	100330772	ZDB-GENE-091204-4	ampd2a	12	11.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
AP-1-2beta	32987	FBgn0010380	AP-1-2beta	Zebrafish	562166	ZDB-GENE-061025-1	ap1b1	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
AP-1gamma	31842	FBgn0030089	AP-1gamma	Zebrafish	324466	ZDB-GENE-030131-3187	ap1g1	9	8.71	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
AP-1mu	41150	FBgn0024833	AP-1mu	Zebrafish	100330411	ZDB-GENE-110126-1	ap1m1	11	10.72	high	Yes	Yes	Compara, eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
AP-1sigma	42835	FBgn0039132	AP-1sigma	Zebrafish	393279	ZDB-GENE-040426-1119	ap1s1	9	8.88	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
AP-2alpha	33211	FBgn0264855	AP-2alpha	Zebrafish	558153	ZDB-GENE-090302-2	ap2a1	7	6.8	high	Yes	Yes	Compara, eggNOG, OMA, OrthoFinder, orthoMCL, Panther, TreeFam
AP-2mu	42642	FBgn0263351	AP-2mu	Zebrafish	394001	ZDB-GENE-040426-1103	ap2m1b	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-2sigma	42525	FBgn0043012	AP-2sigma	Zebrafish	100148085	ZDB-GENE-040426-2174	ap2s1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APC10	36975	FBgn0034231	APC10	Zebrafish	798352	ZDB-GENE-060224-2	anapc10	12	11.99	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
APC4	31835	FBgn0052707	APC4	Zebrafish	494046	ZDB-GENE-041212-10	anapc4	13	12.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
APC7	31594	FBgn0029879	APC7	Zebrafish	558402	ZDB-GENE-081104-113	anapc7	12	11.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APP-BP1	39244	FBgn0261112	APP-BP1	Zebrafish	573336	ZDB-GENE-040426-1552	nae1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AQP	36456	FBgn0033807	AQP	Zebrafish	436844	ZDB-GENE-040718-310	aqp12	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ASPP	37422	FBgn0034606	ASPP	Zebrafish	557278	ZDB-GENE-030131-4327	ppp1r13bb	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP6AP2	41104	FBgn0037671	ATP6AP2	Zebrafish	406296	ZDB-GENE-040426-1960	atp6ap2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP8A	36488	FBgn0259221	ATP8A	Zebrafish	100330943	ZDB-GENE-100209-2	atp8a2	10	9.79	high	Yes	Yes	eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
ATP8B	41469	FBgn0037989	ATP8B	Zebrafish	100148342	ZDB-GENE-091116-14	atp8b1	8	7.71	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoDB, orthoMCL, Panther, Phylome, TreeFam
ATPCL	36760	FBgn0020236	ATPCL	Zebrafish	794259	ZDB-GENE-090909-2	aclyb	11	10.86	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
Aatf	33943	FBgn0031851	Aatf	Zebrafish	559477	ZDB-GENE-030131-9654	aatf	11	10.82	high	Yes	Yes	eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Abi	41718	FBgn0020510	Abi	Zebrafish	767646	ZDB-GENE-060929-192	abi2a	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Abl	45821	FBgn0000017	Abl	Zebrafish	570636	ZDB-GENE-020809-2	abl2	9	8.94	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Abp1	39520	FBgn0036372	Abp1	Zebrafish	553729	ZDB-GENE-050522-293	dbnlb	13	12.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Ac13E	32485	FBgn0022710	Ac13E	Zebrafish	100333702	ZDB-GENE-050208-455	adcy9	6	6.05	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, Panther
Ac78C	40333	FBgn0024150	Ac78C	Zebrafish	100148976	ZDB-GENE-070912-197	adcy8	7	6.89	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, Panther, Phylome, TreeFam
AcCoAS	40348	FBgn0012034	AcCoAS	Zebrafish	436914	ZDB-GENE-040718-388	acss2	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acbp1	34111	FBgn0031992	Acbp1	Zebrafish	619256	ZDB-GENE-050913-108	acbd7	12	11.93	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Acbp2	38784	FBgn0010387	Acbp2	Zebrafish	393831	ZDB-GENE-040426-1861	dbi	8	7.77	moderate	Yes	No	Compara, eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, orthoMCL, RoundUp
Ace	41625	FBgn0000024	Ace	Zebrafish	114549	ZDB-GENE-010906-1	ache	10	9.86	high	Yes	Yes	eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acf	43751	FBgn0027620	Acf	Zebrafish	334173	ZDB-GENE-030131-6105	baz1a	9	8.84	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
Acn	35173	FBgn0263198	Acn	Zebrafish	327495	ZDB-GENE-030826-12	acin1b	8	7.84	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
Acsl	46068	FBgn0263120	Acsl	Zebrafish	567157	ZDB-GENE-050420-181	acsl3a	12	11.84	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Actbeta	43826	FBgn0024913	Actbeta	Zebrafish	30275	ZDB-GENE-990415-2	inhbb	10	9.9	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Actn	31166	FBgn0000667	Actn	Zebrafish	323320	ZDB-GENE-030131-2040	actn3b	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdSL	42051	FBgn0038467	AdSL	Zebrafish	334431	ZDB-GENE-030131-6363	adsl	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdSS	42466	FBgn0027493	AdSS	Zebrafish	407989	ZDB-GENE-040516-18	adssl1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada	41092	FBgn0037661	Ada	Zebrafish	619263	ZDB-GENE-050913-145	adal	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada2a	326128	FBgn0263738	Ada2a	Zebrafish	797303	ZDB-GENE-060929-508	tada2a	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada2b	40966	FBgn0037555	Ada2b	Zebrafish	554156	ZDB-GENE-050522-557	tada2b	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada3	32787	FBgn0030891	Ada3	Zebrafish	334785	ZDB-GENE-030131-6725	tada3l	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adar	31130	FBgn0026086	Adar	Zebrafish	558759	ZDB-GENE-030219-15	adarb1b	12	11.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adat1	34787	FBgn0028658	Adat1	Zebrafish	792614	ZDB-GENE-070410-64	adat1	12	11.77	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
Adck	37938	FBgn0035039	Adck	Zebrafish	100144553	ZDB-GENE-080401-5	adck1	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
AdenoK	39479	FBgn0036337	AdenoK	Zebrafish	368220	ZDB-GENE-030425-3	adka	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Adi1	326189	FBgn0052068	Adi1	Zebrafish	324079	ZDB-GENE-030131-2799	adi1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdipoR	42656	FBgn0038984	AdipoR	Zebrafish	406821	ZDB-GENE-040426-2896	adipor1b	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adk1	39396	FBgn0022709	Adk1	Zebrafish	445486	ZDB-GENE-040822-37	ak1	12	11.91	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Adk2	37834	FBgn0283494	Adk2	Zebrafish	321793	ZDB-GENE-030131-512	ak2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adk3	41318	FBgn0042094	Adk3	Zebrafish	406404	ZDB-GENE-040426-2142	ak3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdoR	43583	FBgn0039747	AdoR	Zebrafish	561701	ZDB-GENE-080723-28	adora2aa	9	8.73	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Afti	41744	FBgn0038223	Afti	Zebrafish	556043	ZDB-GENE-030131-1437	aftpha	6	5.99	high	Yes	Yes	eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
Ahcy	32471	FBgn0014455	Ahcy	Zebrafish	387530	ZDB-GENE-031219-6	ahcy	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AhcyL2	42043	FBgn0015011	AhcyL2	Zebrafish	394240	ZDB-GENE-040115-5	ahcyl2	11	10.72	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
AkhR	33942	FBgn0025595	AkhR	Zebrafish	100001586	ZDB-GENE-050419-76	gnrhr4	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Alas	37815	FBgn0020764	Alas	Zebrafish	64607	ZDB-GENE-001229-1	alas2	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aldh	34256	FBgn0012036	Aldh	Zebrafish	393462	ZDB-GENE-040426-1262	aldh2.1	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Aldh7A1	40097	FBgn0036857	Aldh7A1	Zebrafish	334197	ZDB-GENE-030131-6129	aldh7a1	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Alg-2	3355106	FBgn0086378	Alg-2	Zebrafish	393925	ZDB-GENE-040426-1307	pdcd6	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Alg1	42146	FBgn0038552	Alg1	Zebrafish	334161	ZDB-GENE-030131-6093	alg1	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Alg10	326193	FBgn0052076	Alg10	Zebrafish	100331575	ZDB-GENE-110310-8	alg10	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Alg11	40402	FBgn0037108	Alg11	Zebrafish	407614	ZDB-GENE-030131-7282	alg11	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg14	32479	FBgn0030645	Alg14	Zebrafish	450072	ZDB-GENE-041010-195	alg14	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Alg2	38374	FBgn0035401	Alg2	Zebrafish	403068	ZDB-GENE-060502-2	alg2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg3	37754	FBgn0011297	Alg3	Zebrafish	553725	ZDB-GENE-050522-334	alg3	12	11.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg9	43031	FBgn0039293	Alg9	Zebrafish	393598	ZDB-GENE-040426-1270	alg9	13	12.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Alh	40850	FBgn0261238	Alh	Zebrafish	492342	ZDB-GENE-041114-176	mllt10	6	5.93	high	Yes	Yes	eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Alk	53425	FBgn0040505	Alk	Zebrafish	564470	ZDB-GENE-030616-115	ltk	10	9.82	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlkB	2768870	FBgn0065035	AlkB	Zebrafish	553720	ZDB-GENE-050522-196	alkbh1	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Alp9	38633	FBgn0035620	Alp9	Zebrafish	574009	ZDB-GENE-050626-142	alpi.2	12	11.81	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome
Alr	32991	FBgn0031068	Alr	Zebrafish	560433	ZDB-GENE-060810-186	gfer	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Als2	40410	FBgn0037116	Als2	Zebrafish	100318899	ZDB-GENE-080929-1	als2b	11	10.96	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Amacr	35337	FBgn0032881	Amacr	Zebrafish	553653	ZDB-GENE-050522-484	amacr	13	12.7	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
Amnionless	33199	FBgn0025686	Amnionless	Zebrafish	793454	ZDB-GENE-060810-59	amn	5	5.19	high	Yes	Yes	Inparanoid, OrthoDB, OrthoFinder, Panther, RoundUp
Amph	36383	FBgn0027356	Amph	Zebrafish	447863	ZDB-GENE-030425-1	bin1b	12	11.87	high	Yes	Yes	eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Amt	41841	FBgn0038309	Amt	Zebrafish	792274	ZDB-GENE-040426-2595	rhcgb	3	2.95	moderate	Yes	No	OrthoDB, Phylome, RoundUp
Ank	43770	FBgn0011747	Ank	Zebrafish	797662	ZDB-GENE-091113-6	ank1b	7	6.82	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, Panther, Phylome, TreeFam
Ankle2	32732	FBgn0028343	Ankle2	Zebrafish	559297	ZDB-GENE-030131-6090	ankle2	9	8.89	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
Ant2	32008	FBgn0025111	Ant2	Zebrafish	566370	ZDB-GENE-070912-446	slc25a6	9	8.85	moderate	Yes	No	eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp
Antp	40835	FBgn0260642	Antp	Zebrafish	58044	ZDB-GENE-000329-2	hoxb7a	9	8.8	high	Yes	Yes	eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aos1	41532	FBgn0029512	Aos1	Zebrafish	415148	ZDB-GENE-040625-21	sae1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ApepP	35029	FBgn0026150	ApepP	Zebrafish	406253	ZDB-GENE-040426-999	xpnpep1	13	12.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Apf	318908	FBgn0051713	Apf	Zebrafish	436595	ZDB-GENE-040718-7	nudt2	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aplip1	53472	FBgn0040281	Aplip1	Zebrafish	561262	ZDB-GENE-070705-326	mapk8ip2	7	6.92	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
Aprt	48224	FBgn0000109	Aprt	Zebrafish	393641	ZDB-GENE-040426-1492	aprt	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
