FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
AMPKalpha	43904	FBgn0023169	AMPKalpha	Human	5563	9377	PRKAA2	14	13.7	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AMPdeam	32352	FBgn0052626	AMPdeam	Human	271	469	AMPD2	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
AP-1-2beta	32987	FBgn0010380	AP-1-2beta	Human	162	554	AP1B1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-1gamma	31842	FBgn0030089	AP-1gamma	Human	164	555	AP1G1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-1mu	41150	FBgn0024833	AP-1mu	Human	8907	13667	AP1M1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-1sigma	42835	FBgn0039132	AP-1sigma	Human	8905	560	AP1S2	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, RoundUp, TreeFam
AP-2alpha	33211	FBgn0264855	AP-2alpha	Human	161	562	AP2A2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-2mu	42642	FBgn0263351	AP-2mu	Human	1173	564	AP2M1	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AP-2sigma	42525	FBgn0043012	AP-2sigma	Human	1175	565	AP2S1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APC10	36975	FBgn0034231	APC10	Human	10393	24077	ANAPC10	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
APC4	31835	FBgn0052707	APC4	Human	29945	19990	ANAPC4	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
APC7	31594	FBgn0029879	APC7	Human	51434	17380	ANAPC7	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
APP-BP1	39244	FBgn0261112	APP-BP1	Human	8883	621	NAE1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AQP	36456	FBgn0033807	AQP	Human	653437	6096	AQP12B	12	11.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
ASPP	37422	FBgn0034606	ASPP	Human	23368	14950	PPP1R13B	14	13.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP6AP2	41104	FBgn0037671	ATP6AP2	Human	10159	18305	ATP6AP2	13	12.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP8A	36488	FBgn0259221	ATP8A	Human	10396	13531	ATP8A1	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ATP8B	41469	FBgn0037989	ATP8B	Human	57198	13534	ATP8B2	12	11.72	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, orthoMCL, Panther, Phylome, TreeFam
ATPCL	36760	FBgn0020236	ATPCL	Human	47	115	ACLY	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aatf	33943	FBgn0031851	Aatf	Human	26574	19235	AATF	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Abi	41718	FBgn0020510	Abi	Human	10152	24011	ABI2	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Abl	45821	FBgn0000017	Abl	Human	27	77	ABL2	10	9.89	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Abp1	39520	FBgn0036372	Abp1	Human	28988	2696	DBNL	12	11.91	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Ac13E	32485	FBgn0022710	Ac13E	Human	115	240	ADCY9	14	13.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Ac3	35419	FBgn0023416	Ac3	Human	109	234	ADCY3	12	11.89	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
AcCoAS	40348	FBgn0012034	AcCoAS	Human	55902	15814	ACSS2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acf	43751	FBgn0027620	Acf	Human	11177	960	BAZ1A	13	12.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Achl	36605	FBgn0033936	Achl	Human	55323	24012	LARP6	9	8.8	high	Yes	Yes	eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ack	38489	FBgn0028484	Ack	Human	10188	19297	TNK2	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acn	35173	FBgn0263198	Acn	Human	22985	17066	ACIN1	10	9.78	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Acsl	46068	FBgn0263120	Acsl	Human	2181	3570	ACSL3	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdSL	42051	FBgn0038467	AdSL	Human	158	291	ADSL	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada	41092	FBgn0037661	Ada	Human	161823	31853	ADAL	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada2a	326128	FBgn0263738	Ada2a	Human	6871	11531	TADA2A	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada2b	40966	FBgn0037555	Ada2b	Human	93624	30781	TADA2B	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ada3	32787	FBgn0030891	Ada3	Human	10474	19422	TADA3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdamTS-A	41887	FBgn0286071	AdamTS-A	Human	56999	13202	ADAMTS9	11	10.91	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Adat1	34787	FBgn0028658	Adat1	Human	23536	228	ADAT1	9	8.69	high	Yes	Yes	eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Phylome, TreeFam
Adck	37938	FBgn0035039	Adck	Human	57143	19038	ADCK1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adi1	326189	FBgn0052068	Adi1	Human	55256	30576	ADI1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdipoR	42656	FBgn0038984	AdipoR	Human	51094	24040	ADIPOR1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adk1	39396	FBgn0022709	Adk1	Human	203	361	AK1	13	12.86	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Adk2	37834	FBgn0283494	Adk2	Human	204	362	AK2	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Adk3	41318	FBgn0042094	Adk3	Human	50808	17376	AK3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AdoR	43583	FBgn0039747	AdoR	Human	136	264	ADORA2B	8	7.83	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Aduk	41112	FBgn0037679	Aduk	Human	25989	19703	ULK3	14	13.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Afti	41744	FBgn0038223	Afti	Human	54812	25951	AFTPH	7	7.04	high	Yes	Yes	eggNOG, Inparanoid, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
Agpat1	32230	FBgn0030421	Agpat1	Human	10554	324	AGPAT1	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Agpat2	34176	FBgn0026718	Agpat2	Human	10555	325	AGPAT2	8	7.81	moderate	Yes	No	Compara, eggNOG, Hieranoid, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
Ahcy	32471	FBgn0014455	Ahcy	Human	191	343	AHCY	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AhcyL2	42043	FBgn0015011	AhcyL2	Human	23382	22204	AHCYL2	11	10.72	moderate	Yes	No	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Akt1	41957	FBgn0010379	Akt1	Human	208	392	AKT2	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlaRS	34156	FBgn0027094	AlaRS	Human	16	20	AARS	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlaRS-m	38595	FBgn0028962	AlaRS-m	Human	57505	21022	AARS2	8	7.71	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Alas	37815	FBgn0020764	Alas	Human	212	397	ALAS2	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ald2	43189	FBgn0039425	Ald2	Human	229	417	ALDOB	10	9.82	moderate	Yes	No	Compara, eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
Aldh7A1	40097	FBgn0036857	Aldh7A1	Human	501	877	ALDH7A1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg-2	3355106	FBgn0086378	Alg-2	Human	10016	8765	PDCD6	12	11.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Phylome, RoundUp, TreeFam
Alg1	42146	FBgn0038552	Alg1	Human	56052	18294	ALG1	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Alg10	326193	FBgn0052076	Alg10	Human	84920	23162	ALG10	13	12.81	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
Alg11	40402	FBgn0037108	Alg11	Human	440138	32456	ALG11	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Alg14	32479	FBgn0030645	Alg14	Human	199857	28287	ALG14	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg2	38374	FBgn0035401	Alg2	Human	85365	23159	ALG2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg3	37754	FBgn0011297	Alg3	Human	10195	23056	ALG3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alg9	43031	FBgn0039293	Alg9	Human	79796	15672	ALG9	11	10.9	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Alh	40850	FBgn0261238	Alh	Human	4302	7138	MLLT6	7	6.88	high	Yes	Yes	eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Alk	53425	FBgn0040505	Alk	Human	238	427	ALK	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
AlkB	2768870	FBgn0065035	AlkB	Human	8846	17911	ALKBH1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Alp4	43671	FBgn0016123	Alp4	Human	250	439	ALPP	7	6.74	moderate	Yes	No	Compara, eggNOG, Homologene, OrthoFinder, orthoMCL, Panther, Phylome
Alr	32991	FBgn0031068	Alr	Human	2671	4236	GFER	12	11.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Als2	40410	FBgn0037116	Als2	Human	57679	443	ALS2	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Amacr	35337	FBgn0032881	Amacr	Human	23600	451	AMACR	13	12.7	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
Amnionless	33199	FBgn0025686	Amnionless	Human	81693	14604	AMN	11	10.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Amph	36383	FBgn0027356	Amph	Human	274	1052	BIN1	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ank	43770	FBgn0011747	Ank	Human	286	492	ANK1	9	8.87	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
Ank2	38863	FBgn0261788	Ank2	Human	287	493	ANK2	6	5.99	moderate	Yes	No	eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, RoundUp
Ankle2	32732	FBgn0028343	Ankle2	Human	23141	29101	ANKLE2	9	8.86	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
Antp	40835	FBgn0260642	Antp	Human	3217	5118	HOXB7	9	8.8	high	Yes	Yes	eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aos1	41532	FBgn0029512	Aos1	Human	10055	30660	SAE1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Apc	44642	FBgn0015589	Apc	Human	324	583	APC	9	8.75	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
ApepP	35029	FBgn0026150	ApepP	Human	7511	12822	XPNPEP1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Apf	318908	FBgn0051713	Apf	Human	318	8049	NUDT2	12	11.76	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aplip1	53472	FBgn0040281	Aplip1	Human	9479	6882	MAPK8IP1	10	9.68	high	Yes	Yes	Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Aprt	48224	FBgn0000109	Aprt	Human	353	626	APRT	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Archease	42551	FBgn0038893	Archease	Human	339487	24094	ZBTB8OS	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Arf102F	43823	FBgn0013749	Arf102F	Human	378	655	ARF4	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Arf51F	36699	FBgn0013750	Arf51F	Human	382	659	ARF6	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
